suspicious_getSubscriberId,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_SEND_SMS,suspicious_sendTextMessage,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_ACCESS_FINE_LOCATION,n_permissions,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_READ_PHONE_STATE,suspicious_Ljava_lang_System___load,suspicious_Ljava_lang_System___loadLibrary,suspicious_getExternalStorageDirectory,n_activities,suspicious_Ldalvik_system_DexClassLoader_,suspicious_Ldalvik_system_PathClassLoader_,suspicious_getPackageInfo,perm_android_permission_ACCESS_NETWORK_STATE,n_services,n_providers,suspicious_Ljava_lang_Runtime___exec,n_receivers,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_ACCESS_WIFI_STATE,suspicious_Base64,n_urls,n_api_calls,suspicious_Cipher,intent_com_tencent_android_tpush_action_INTERNAL_PUSH_MESSAGE,perm_android_permission_BLUETOOTH,suspicious_getSystemService,label
0,0,0,0,0,0,3,0,1,0,0,1,2,1,1,1,1,1,1,0,0,0,0,1,22,13,1,0,0,1,0
0,0,0,0,0,0,3,0,1,0,0,1,2,1,1,1,1,1,1,0,0,0,0,1,22,13,1,0,0,1,0
0,0,0,0,0,0,3,0,1,0,0,1,2,1,1,1,1,1,1,0,0,0,0,1,22,13,1,0,0,1,0
0,0,0,0,0,0,3,0,1,0,0,1,2,1,1,1,1,1,1,0,0,0,0,1,22,13,1,0,0,1,0
0,0,0,0,0,0,3,0,1,0,0,1,2,1,1,1,1,1,1,0,0,0,0,1,21,13,1,0,0,1,0
0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,1,22,13,1,0,0,1,0
0,0,0,0,0,0,3,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,1,1,21,12,1,0,0,1,0
0,0,0,0,0,0,3,1,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,1,22,14,1,0,0,1,0
0,0,0,0,0,0,4,1,1,0,0,1,2,1,1,1,1,3,0,0,0,0,0,1,22,14,1,0,0,1,0
0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,1,21,13,1,0,0,1,0
0,0,0,0,0,0,2,0,0,0,0,1,3,1,0,1,1,0,0,0,0,0,0,1,21,12,1,0,0,1,0
0,0,0,0,0,0,2,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,1,21,14,1,0,0,1,0
0,0,0,0,0,0,4,1,1,0,0,1,2,1,1,1,1,3,0,0,0,0,0,1,22,14,1,0,0,1,0
0,0,0,0,0,0,3,1,0,0,0,1,3,1,1,1,1,0,1,0,1,0,0,1,21,12,1,0,0,1,1
