cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_selected_features,mean_reduction_ratio,mean_conditional_entropy
0,55666,50,50,0,-0.0,30,0.0,0.0
1,59645,50,50,0,-0.0,30,0.0,0.0
2,36149,50,49,1,0.14144054254182067,30,0.0019155659778551403,0.14116960385063818
3,50724,50,45,5,0.4689955935892812,5,0.015322574589536035,0.46180937362434576
4,28320,50,50,0,-0.0,30,0.0,0.0
5,20899,50,50,0,-0.0,30,0.0,0.0
6,63602,50,50,0,-0.0,30,0.0,0.0
7,8515,50,50,0,-0.0,30,0.0,0.0
8,17089,50,49,1,0.14144054254182067,5,0.007853515621573109,0.14032973703144466
9,32385,50,49,1,0.14144054254182067,5,0.012160568890493164,0.1397205450803321
10,47424,50,46,4,0.4021791902022728,5,0.017784082997413905,0.3950268021038829
11,68815,50,50,0,-0.0,30,0.0,0.0
12,10722,50,50,0,-0.0,30,0.0,0.0
13,23575,50,50,0,-0.0,30,0.0,0.0
14,57791,50,50,0,-0.0,30,0.0,0.0
15,42205,50,50,0,-0.0,30,0.0,0.0
16,63345,50,50,0,-0.0,30,0.0,0.0
17,3331,50,50,0,-0.0,30,0.0,0.0
18,23823,50,50,0,-0.0,30,0.0,0.0
19,1644,50,50,0,-0.0,30,0.0,0.0
20,4824,50,50,0,-0.0,30,0.0,0.0
21,61946,50,49,1,0.14144054254182067,9,0.01829928443884767,0.1388522818226629
22,54044,50,44,6,0.5293608652873644,6,0.018640047864769145,0.5194935534206723
23,63284,50,50,0,-0.0,30,0.0,0.0
24,71144,50,34,16,0.9043814577244937,30,0.0077942471878776325,0.897332485090856
25,44590,50,50,0,-0.0,30,0.0,0.0
26,33456,50,50,0,-0.0,30,0.0,0.0
27,27343,50,50,0,-0.0,30,0.0,0.0
28,10261,50,39,11,0.7601675029619657,4,0.013554570504917936,0.7498637589475204
29,67418,50,50,0,-0.0,30,0.0,0.0
30,68064,50,50,0,-0.0,30,0.0,0.0
31,41053,50,50,0,-0.0,30,0.0,0.0
32,37681,50,50,0,-0.0,30,0.0,0.0
33,1684,50,50,0,-0.0,30,0.0,0.0
34,8624,50,50,0,-0.0,30,0.0,0.0
35,72133,50,42,8,0.6343095546405662,5,0.015903021927768542,0.6242221158841241
36,33347,50,50,0,-0.0,30,0.0,0.0
37,51682,50,50,0,-0.0,30,0.0,0.0
38,20491,50,47,3,0.32744491915447627,7,0.026016794037582,0.31892585213418156
39,58133,50,43,7,0.584238811642856,10,0.014384787716466455,0.5758346603616529
40,32270,50,50,0,-0.0,30,0.0,0.0
41,57830,50,45,5,0.4689955935892812,30,0.0011408644405843777,0.4684605331937645
42,4284,50,50,0,-0.0,30,0.0,0.0
43,71951,50,50,0,-0.0,30,0.0,0.0
44,23039,50,50,0,-0.0,30,0.0,0.0
45,49810,50,41,9,0.6800770457282799,13,0.020834214645145968,0.6659081745823403
46,66348,50,50,0,-0.0,30,0.0,0.0
47,1328,50,48,2,0.24229218908241482,2,0.012600829335185353,0.23923910655853894
48,38455,50,50,0,-0.0,30,0.0,0.0
49,34384,50,39,11,0.7601675029619657,30,0.00526225899509013,0.7561673046817289
50,37987,50,46,4,0.4021791902022728,2,0.015341503924221709,0.3960091565775443
51,2780,50,46,4,0.4021791902022728,1,0.008138706148900823,0.3989059719540136
52,38789,50,50,0,-0.0,30,0.0,0.0
53,70495,50,50,0,-0.0,30,0.0,0.0
54,34779,50,50,0,-0.0,30,0.0,0.0
55,30828,50,50,0,-0.0,30,0.0,0.0
56,26844,50,35,15,0.8812908992306927,10,0.012621793913447641,0.8701674271228061
57,66807,50,50,0,-0.0,30,0.0,0.0
58,9117,50,50,0,-0.0,30,0.0,0.0
59,2703,50,29,21,0.9814538950336537,2,0.008810337091084424,0.9728069553790497
60,1693,50,50,0,-0.0,30,0.0,0.0
61,32378,50,49,1,0.14144054254182067,24,0.029734505144896232,0.13723487800191395
62,50428,50,50,0,-0.0,30,0.0,0.0
63,920,50,49,1,0.14144054254182067,5,0.005253456234367747,0.14069749084181193
64,51181,50,50,0,-0.0,30,0.0,0.0
65,71470,50,50,0,-0.0,30,0.0,0.0
66,14868,50,49,1,0.14144054254182067,30,0.0013523280717597703,0.14124926852565642
67,3241,50,50,0,-0.0,30,0.0,0.0
68,39993,50,50,0,-0.0,30,0.0,0.0
69,27177,50,48,2,0.24229218908241482,13,0.014044848931755232,0.2388892318894081
70,32073,50,50,0,-0.0,30,0.0,0.0
71,56334,50,50,0,-0.0,30,0.0,0.0
72,72131,50,49,1,0.14144054254182067,1,0.0026633191786398966,0.14106384123223176
73,57075,50,46,4,0.4021791902022728,3,0.006285588657099813,0.3996512572462158
74,59902,50,17,33,0.9248187049730301,1,0.010306833988399195,0.9152867521115066
75,25149,50,50,0,-0.0,30,0.0,0.0
76,20277,50,50,0,-0.0,30,0.0,0.0
77,44102,50,50,0,-0.0,30,0.0,0.0
78,69658,50,20,30,0.9709505944546686,4,0.01448650906313447,0.9568849098682454
79,59849,50,50,0,-0.0,30,0.0,0.0
80,72819,50,48,2,0.24229218908241482,30,0.0024440078394839856,0.24170002507285177
81,60926,50,50,0,-0.0,30,0.0,0.0
82,15106,50,50,0,-0.0,30,0.0,0.0
83,43310,50,50,0,-0.0,30,0.0,0.0
84,5029,50,50,0,-0.0,30,0.0,0.0
85,49209,50,30,20,0.9709505944546686,9,0.013813852350171896,0.9575380263035603
86,9211,50,50,0,-0.0,30,0.0,0.0
87,54983,50,50,0,-0.0,30,0.0,0.0
88,9468,50,50,0,-0.0,30,0.0,0.0
89,6019,50,2,48,0.24229218908241482,1,0.006589736604810458,0.24069554737495882
90,51879,50,47,3,0.32744491915447627,2,0.011708449357317881,0.323611046901245
91,48716,50,48,2,0.24229218908241482,11,0.01686093976265778,0.2382069150773338
92,6679,50,49,1,0.14144054254182067,7,0.007305042037437867,0.14040731343275462
93,44340,50,50,0,-0.0,30,0.0,0.0
94,50936,50,50,0,-0.0,30,0.0,0.0
95,17110,50,50,0,-0.0,30,0.0,0.0
96,46073,50,48,2,0.24229218908241482,13,0.02265724600501062,0.2368025153492821
97,26307,50,50,0,-0.0,30,0.0,0.0
98,25699,50,50,0,-0.0,30,0.0,0.0
99,4129,50,50,0,-0.0,30,0.0,0.0
100,53247,50,50,0,-0.0,30,0.0,0.0
101,24459,50,50,0,-0.0,30,0.0,0.0
102,39476,50,50,0,-0.0,30,0.0,0.0
103,30734,50,50,0,-0.0,30,0.0,0.0
104,61627,50,48,2,0.24229218908241482,4,0.012502923331473917,0.23926282841850247
105,41456,50,50,0,-0.0,30,0.0,0.0
106,35547,50,36,14,0.8554508105601306,4,0.02253044801275567,0.8361771205453358
107,18021,50,50,0,-0.0,30,0.0,0.0
108,22403,50,50,0,-0.0,30,0.0,0.0
109,27875,50,50,0,-0.0,30,0.0,0.0
110,30346,50,50,0,-0.0,30,0.0,0.0
111,13435,50,50,0,-0.0,30,0.0,0.0
112,23840,50,3,47,0.32744491915447627,3,0.006661155569579357,0.32526375760751997
