cluster_id,cluster_json,candidate_count,top_feature,top_method_count,top_aggregated_score,output_dir
76,cluster_76.json,50,intent_android.intent.action.PACKAGE_CHANGED,5,1.0,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_76
77,cluster_77.json,50,perm_android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,4,0.6607993395518025,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_77
78,cluster_78.json,50,intent_android.intent.action.PACKAGE_ADDED,5,0.7236650977361814,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_78
79,cluster_79.json,50,intent_cryopiggy.start,5,0.8664512362556799,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_79
80,cluster_80.json,50,perm_android.permission.WRITE_SMS,5,0.8639673232850287,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_80
81,cluster_81.json,50,suspicious_sendTextMessage,5,0.6640172054417512,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_81
82,cluster_82.json,50,n_api_calls,5,0.0,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_82
83,cluster_83.json,50,perm_android.permission.READ_PHONE_STATE,5,0.9494786343313492,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_83
84,cluster_84.json,50,intent_android.intent.action.NEW_OUTGOING_CALL,5,0.7179424377641943,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_84
85,cluster_85.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.6282753797939484,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_85
86,cluster_86.json,50,n_api_calls,4,0.0,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_86
87,cluster_87.json,50,perm_android.permission.CHANGE_WIFI_STATE,4,0.8,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_87
88,cluster_88.json,50,perm_android.permission.READ_PHONE_STATE,5,0.7881295430904349,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_88
89,cluster_89.json,50,perm_android.permission.ACCESS_NETWORK_STATE,5,0.7321904416900479,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_89
90,cluster_90.json,50,perm_android.permission.CHANGE_WIFI_STATE,5,0.5842395900657404,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_90
91,cluster_91.json,50,intent_android.intent.action.PACKAGE_REMOVED,4,0.8,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_91
92,cluster_92.json,50,perm_android.permission.GET_TASKS,5,0.9610599518621268,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_92
93,cluster_93.json,50,intent_android.intent.action.PACKAGE_ADDED,5,0.9996430393828926,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_93
94,cluster_94.json,50,intent_android.intent.action.CREATE_SHORTCUT,5,0.8050185573928385,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_94
95,cluster_95.json,50,n_used_permissions,5,0.2,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_95
96,cluster_96.json,50,perm_android.permission.READ_PHONE_STATE,5,0.3856373098945175,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_96
97,cluster_97.json,50,suspicious_getSubscriberId,5,1.0,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_97
98,cluster_98.json,50,intent_android.intent.action.PACKAGE_ADDED,4,0.8044870174949871,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_98
99,cluster_99.json,50,suspicious_getSubscriberId,4,0.8041865758440567,reports/entropy_knn/analysis/per_cluster_feature_vs_method/cluster_99
