perm_android_permission_GET_TASKS,n_api_calls,suspicious_getSubscriberId,perm_android_permission_SET_DEBUG_APP,perm_android_permission_SEND_SMS,intent_com_yuetu_shentu_Intent_WECHAT_AUTH,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_com_yuetu_shentu_Intent_WECHAT_PAY,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_READ_PHONE_STATE,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_RECORD_AUDIO,n_permissions,intent_com_yuetu_shentu_Intent_WECHAT_SHARE,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_BLUETOOTH,n_activities,n_providers,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_ACCESS_WIFI_STATE,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,n_receivers,suspicious_Ldalvik_system_DexClassLoader_,suspicious_Ljava_lang_Runtime___exec,label
1,17,0,0,0,0,0,0,0,0,1,0,0,12,0,0,1,0,5,1,1,1,0,0,1,1,0,4,0,0,0
0,31,1,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,1,0
0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0,1,0,1,13,0,0,1,0,45,3,0,1,0,0,0,1,0,6,1,0,1
0,27,0,0,0,0,0,0,1,0,1,1,1,24,0,1,1,0,65,3,0,1,0,0,1,1,1,3,1,0,1
0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,7,1,1,1,0,0,0,1,1,5,1,0,0
0,20,0,0,0,0,0,0,0,0,1,0,0,21,0,1,1,0,45,3,0,1,0,0,1,1,1,5,0,0,0
0,25,0,0,0,0,0,0,1,0,0,0,0,13,0,1,1,0,19,4,1,1,0,1,0,1,1,4,0,0,0
1,69,1,0,1,0,1,0,1,1,1,1,1,124,0,1,0,1,419,17,0,1,1,1,1,0,0,18,1,1,0
0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,0
0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0
0,13,0,0,0,0,0,0,1,0,0,1,0,34,0,1,1,0,9,1,1,1,1,1,1,1,1,12,1,1,0
1,27,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1
0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,11,2,0,1,0,0,0,0,1,1,1,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,16,1,1,0,0,0,0,1,0,4,1,0,0
0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0
0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,21,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
0,47,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,42,1,0,1,0,1,1,0,1,8,1,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
0,29,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1,8,4,1,0,0,0,0,1,1,6,1,0,1
1,27,1,0,0,0,1,0,1,0,1,1,0,15,0,0,0,0,8,0,0,1,0,1,1,0,0,5,1,1,0
0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,11,0,0,0,0,0,1,0,0,0,1,0,1
0,21,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,29,1,1,1,0,0,0,1,0,9,1,0,0
0,22,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,0,0,0,0,13,0,1,1,0,28,4,0,1,0,0,0,1,1,4,1,1,0
0,26,0,0,0,0,0,0,1,0,1,0,0,8,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0,0,1,0,1,30,0,1,1,0,5,0,0,1,0,0,0,1,0,7,0,1,0
0,19,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,10,0,0,1,0,0,1,0,0,0,1,0,0
0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0
0,15,0,0,0,0,0,0,1,0,1,0,0,14,0,0,1,0,10,1,0,1,0,1,0,1,0,5,0,0,0
0,11,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,0,14,7,1,0,0,1,1,1,1,15,1,0,0
0,20,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0
0,51,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,24,2,0,0,0,0,1,0,0,4,1,1,0
0,22,0,0,0,0,0,0,0,0,1,0,0,15,0,1,1,0,27,3,1,1,0,0,1,1,1,13,0,0,0
0,5,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,3,0,0,1,0,0,1,0,1,3,0,0,0
1,63,1,0,0,0,1,0,1,1,1,1,1,106,0,1,0,1,117,2,0,1,1,1,1,0,0,23,1,1,0
0,10,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,0,0,1,0,0,1,0,0,0,1,0,0
0,22,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,6,2,1,0,0,0,1,1,1,3,1,0,0
0,21,0,0,0,0,0,0,0,0,0,0,0,23,0,1,1,0,5,0,0,0,0,0,0,1,0,4,1,1,0
0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,2,1,1,1
0,31,0,0,0,0,0,0,0,0,0,0,0,15,0,1,1,1,2,1,0,1,0,1,1,1,0,3,0,1,0
0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,18,0,0,0,0,0,1,0,0,0,1,0,0
0,31,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,1,0,1,0,0,1,0,0,0,1,1,0
0,4,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,32,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,3,1,0,0
0,14,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,47,3,0,1,0,0,0,1,0,6,1,0,1
1,0,0,0,0,0,0,0,1,0,1,0,0,15,0,0,0,0,16,1,0,1,1,0,1,0,0,1,0,1,0
0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,10,2,1,1,0,0,1,1,1,4,1,0,0
0,21,0,0,0,0,0,0,0,0,1,0,0,12,0,1,1,0,16,1,1,1,0,0,0,1,1,11,1,0,0
0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1
0,41,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,17,1,1,0,0,0,0,1,1,5,1,0,0
0,24,1,0,1,0,0,0,1,1,1,1,1,30,0,1,1,1,20,7,1,1,0,0,1,1,1,10,0,1,0
0,19,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,20,0,0,0,0,1,0,0,0,4,1,0,0
1,0,0,0,0,0,0,0,1,0,1,0,0,15,0,0,0,0,12,1,0,1,1,0,1,0,0,1,0,1,0
0,14,0,0,0,0,0,0,0,1,0,0,0,14,0,1,1,1,24,4,1,1,0,0,1,1,1,8,1,0,0
0,43,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,44,1,0,1,0,1,1,0,1,14,1,1,0
0,18,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,5,5,1,1,0,0,0,1,1,3,0,1,0
0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,7,0,0,1,0,0,1,0,0,1,1,0,0
0,28,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,3,1,1,0,0,0,0,1,1,4,0,0,0
0,21,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,15,1,0,1,0,0,0,0,0,0,0,1,0
0,17,0,0,0,0,0,0,1,0,1,0,0,22,0,1,1,0,21,3,1,1,0,0,0,1,1,6,1,0,0
0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,26,0,0,0,0,0,0,1,0,0,0,0,11,0,0,1,0,23,3,1,0,0,0,0,1,1,7,1,0,0
0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0
0,37,0,0,0,0,0,0,0,0,1,0,0,13,0,0,1,0,12,0,0,1,0,1,1,1,0,10,0,0,0
0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,1,0,0,0,0,1,4,1,0,0
0,22,0,0,0,0,0,0,0,0,0,1,0,15,0,1,1,0,18,1,1,1,0,0,1,1,1,5,1,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0
0,12,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,5,1,0,1,0,0,0,1,0,1,1,0,0
1,39,1,0,1,0,1,0,0,1,1,1,0,24,0,0,1,0,8,3,1,1,0,1,1,1,1,13,0,1,0
0,12,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,23,7,1,1,0,0,0,1,1,5,1,0,1
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0,20,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
0,17,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,52,0,0,1,0,0,0,0,0,0,1,1,0
0,17,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,6,4,1,0,0,0,0,1,1,4,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,8,2,0,0,0,0,1,1,0,4,0,1,0
0,21,0,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,43,1,0,1,0,0,0,1,0,2,0,1,0
1,6,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,11,0,0,1,0,0,0,0,0,2,0,1,0
0,19,1,0,0,0,0,0,0,1,1,1,0,11,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0
1,21,0,0,0,0,1,0,0,0,1,0,0,10,0,1,0,0,32,0,0,1,0,0,1,0,0,0,1,0,1
0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0
0,13,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1
0,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0
0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,21,0,0,0,0,0,1,0,0,0,1,0,0
0,25,0,0,0,0,0,0,0,0,0,0,0,24,0,1,1,0,4,0,0,1,0,0,0,1,1,6,1,1,0
0,29,0,0,0,0,0,0,0,0,0,0,0,27,0,1,1,0,32,2,0,0,0,0,1,1,1,11,0,1,0
0,46,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,5,0,0,1,0,0,1,0,0,0,1,0,0
0,24,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,0,20,0,0,0,0,0,1,1,0,5,1,1,1
0,25,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,16,1,0,0,0,0,1,0,0,0,0,0,0
0,38,0,0,0,0,0,0,0,0,0,0,0,26,0,1,1,0,61,7,0,1,0,1,1,1,1,12,1,1,1
0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,6,2,1,1,0,0,0,1,1,3,1,0,0
0,50,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,19,2,1,0,0,0,1,1,1,6,1,1,0
0,30,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0
1,31,0,0,0,0,0,0,1,0,1,0,0,14,0,0,1,0,7,1,0,1,0,0,1,1,1,4,1,0,0
0,20,0,0,0,0,0,0,1,1,0,1,0,9,0,1,0,0,11,0,0,0,0,0,1,0,0,0,0,1,0
0,23,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
0,27,0,0,0,0,0,0,1,0,0,0,1,16,0,1,1,0,10,3,1,1,0,0,1,1,1,9,1,1,0
0,4,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0
0,22,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
0,46,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,4,1,1,0
0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,9,1,0,0,0,0,0,0,0,0,1,0,0
0,12,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,20,4,1,1,0,0,1,1,1,6,0,0,0
0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,1,0,0,1,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,13,1,1,1,0,0,0,1,0,4,0,0,0
0,36,0,0,0,0,0,0,0,0,1,0,0,12,0,1,0,0,23,0,0,1,0,1,1,0,0,2,1,0,0
0,28,0,0,0,0,0,0,0,0,0,0,1,9,0,1,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0
0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,10,5,1,0,0,0,0,1,1,4,1,0,0
0,34,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,1,0,0,0,0,1,0,0,0,1,1,0
0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
0,18,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0
0,25,0,0,0,0,0,0,0,0,0,0,0,24,0,1,1,0,7,1,1,0,0,0,1,1,0,5,1,1,1
0,22,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,4,1,0,1,0,0,0,1,0,0,1,0,1
0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0
1,42,1,0,0,0,1,0,0,1,1,1,1,25,0,0,0,0,37,0,0,1,0,1,1,0,0,4,0,1,0
0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0
0,12,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,35,9,1,1,0,0,0,1,1,7,0,0,0
0,13,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,5,0,0,1,0,0,1,0,0,0,1,0,0
0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
0,20,0,0,0,0,0,0,0,0,1,0,1,14,0,1,1,1,24,2,0,1,0,0,1,1,1,8,1,1,0
0,30,1,0,0,0,0,0,0,0,1,0,0,11,0,0,1,0,22,3,0,1,0,0,1,1,1,8,0,0,0
0,20,0,0,0,0,0,0,0,0,0,0,0,17,0,1,1,0,11,2,1,1,0,0,0,1,1,11,0,0,0
1,33,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,4,0,0,1,0,0,1,0,1,1,1,0,0
0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0
0,28,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,1,0,0,1,0,0,1,1,0,0
0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,0,0,0,0,16,0,1,1,0,8,0,0,0,0,0,1,1,0,5,1,0,0
1,68,1,0,0,0,1,0,1,1,1,1,1,63,0,1,0,1,187,12,0,1,1,1,1,0,0,16,1,1,0
0,25,0,0,0,0,1,0,0,0,0,0,0,9,0,1,1,0,14,2,1,1,0,0,0,1,1,4,0,1,0
0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,2,0,1,0,1,0,0,0,7,0,0,0
0,36,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1,5,1,1,0,0,0,0,1,1,3,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,15,0,0,0,0,0,0,0,0,0,1,0,1
0,19,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,9,2,0,1,0,0,0,0,0,1,1,0,0
0,14,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
0,28,0,0,0,0,0,0,1,0,1,1,0,14,0,1,1,1,25,5,1,1,0,0,1,1,1,6,0,1,0
0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,0,0,0,0,1,0,0,0,2,1,0,0
0,9,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,17,5,1,1,0,0,0,1,1,6,1,0,0
0,26,0,0,0,0,0,0,1,0,1,0,1,14,0,1,1,0,10,2,1,1,0,0,0,1,1,4,0,0,0
0,26,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,37,0,0,1,0,0,1,0,0,0,0,1,0
0,10,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,1,1,1,1,0,25,0,0,0,0,5,0,0,1,1,0,1,0,0,0,0,1,0
0,27,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,5,0,0,0,0,0,0,0,1,1,1,0,0
0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,25,0,0,0,0,0,0,0,0,0,0,0,19,0,1,1,1,6,6,1,1,0,0,0,1,1,5,1,1,0
0,24,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,22,0,0,0,0,0,0,0,1,1,1,0,23,0,1,1,0,85,1,0,1,0,0,1,1,0,5,0,1,0
0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
0,19,0,0,0,0,0,0,0,0,1,1,0,17,0,0,1,0,9,1,1,1,0,0,1,1,1,5,0,1,0
0,9,1,0,1,0,0,0,0,0,1,0,0,18,0,0,0,0,12,0,0,0,0,1,1,0,0,1,1,0,0
