perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_permissions,n_api_calls,perm_android_permission_WRITE_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_LOGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_setWifiEnabled,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getSubscriberId,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_READ_PHONE_STATE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_NETWORK_STATE,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,suspicious_getWifiState,n_urls,n_activities,perm_android_permission_DISABLE_KEYGUARD,intent_com_igexin_sdk_action_refreshls,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_RESTART_PACKAGES,perm_android_permission_SEND_SMS,label
1,35,61,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,205,122,1,1,1,1,1,1
1,49,59,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,210,163,1,0,1,1,1,1
0,21,25,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,237,143,0,0,0,0,1,0
1,51,77,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,255,212,1,1,1,0,1,1
1,37,61,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,164,174,0,1,0,1,0,1
1,61,65,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,228,139,1,1,1,0,1,1
0,42,52,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,236,124,1,0,0,0,0,0
0,21,36,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,207,138,0,0,0,0,0,0
0,38,39,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,169,178,1,0,1,1,0,0
0,21,74,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,175,153,0,0,1,0,0,0
0,35,30,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,220,124,1,0,1,0,1,0
1,53,55,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,173,140,1,1,1,1,1,1
0,20,51,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,246,136,0,0,0,0,0,0
0,42,53,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,249,124,1,0,0,0,0,0
0,42,53,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,249,124,1,0,0,0,0,0
1,38,60,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,185,125,1,0,1,0,1,1
0,42,53,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,253,124,1,0,0,0,0,0
0,31,55,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,270,140,1,0,0,0,0,1
0,22,48,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,257,142,0,0,0,0,0,0
0,25,40,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,176,141,1,0,0,1,0,0
1,38,72,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,186,217,0,0,0,0,0,1
1,38,72,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,186,217,0,0,0,0,0,1
1,38,72,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,186,217,0,0,0,0,0,1
1,38,72,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,186,217,0,0,0,0,0,1
1,38,72,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,186,217,0,0,0,0,0,1
1,38,72,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,186,217,0,0,0,0,0,1
1,38,72,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,186,217,0,0,0,0,0,1
1,38,72,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,186,217,0,0,0,0,0,1
1,34,38,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,252,122,1,0,1,1,0,1
1,36,41,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,159,159,0,0,0,1,0,0
1,35,84,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,177,130,0,0,0,0,1,0
0,13,21,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,240,134,0,0,0,0,0,0
0,24,39,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,193,120,0,0,0,0,1,1
0,24,39,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,270,178,0,0,0,0,0,0
1,40,30,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,277,196,1,0,1,0,1,1
1,23,35,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,160,155,0,0,0,0,0,0
1,34,29,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,167,142,0,0,1,1,0,0
