feature,method_count,aggregated_score,score_std,rank_mean,rank_std,top_methods,entropy_reduction_ratio,mutual_information,chi2_stat,f_stat,pearson_r
suspicious_getSubscriberId,5,1.0,0.0,1.0,0.0,"entropy_reduction_ratio, mutual_information, chi2_stat",1.0,1.0,1.0,1.0,1.0
perm_android.permission.GET_TASKS,5,0.5093138492329906,0.1473949458276184,5.2,5.03587132480567,"pearson_r, entropy_reduction_ratio, mutual_information",0.4959096866218346,0.48878909428578704,0.42406580102969826,0.3525038468717338,0.7853008173558995
perm_android.permission.READ_PHONE_STATE,4,0.3667486391979641,0.18417513056500703,15.2,21.949031869310318,"pearson_r, entropy_reduction_ratio, mutual_information",0.46314782410340904,0.32948655295142476,0.2006538401624073,0.16961457015653855,0.6708404086160408
suspicious_getCellLocation,4,0.3067686259456514,0.179088700743865,19.6,22.74730753298069,"pearson_r, mutual_information, entropy_reduction_ratio",0.2898646374526043,0.30762339371384567,0.1669858393263622,0.13131108766413624,0.6380581715713086
perm_android.permission.SEND_SMS,4,0.23795543769897964,0.2206076883915229,151.6,287.7357120692529,"pearson_r, chi2_stat, entropy_reduction_ratio",0.18508940260403986,0.0,0.19703020394080603,0.1516202071819258,0.6560373747681264
intent_android.intent.action.USER_PRESENT,4,0.23795543769897964,0.2206076883915229,151.6,287.7357120692529,"pearson_r, chi2_stat, entropy_reduction_ratio",0.18508940260403986,0.0,0.19703020394080603,0.1516202071819258,0.6560373747681264
suspicious_Landroid/telephony/SmsMessage;->getMessageBody,4,0.2378906265500537,0.21734405560636685,151.8,287.61182173200046,"pearson_r, entropy_reduction_ratio, chi2_stat",0.22139781090353375,0.0,0.18177184075942535,0.1401861175011261,0.6460973635861832
n_api_calls,4,0.22712681778574173,0.21123403130069573,59.6,89.78329465997558,"pearson_r, entropy_reduction_ratio, mutual_information",0.44047951993852863,0.12320975817671086,0.015828310586268237,0.036246475833093865,0.5198700243941071
n_permissions,4,0.22657577538755933,0.2712838215367011,158.6,284.29182190136953,"entropy_reduction_ratio, pearson_r, chi2_stat",0.6378175567673114,0.0,0.015638503366202074,0.013129688093862588,0.46629312871042056
perm_android.permission.SYSTEM_ALERT_WINDOW,4,0.19991959548121235,0.20737570348550935,153.6,286.7114228627803,"pearson_r, entropy_reduction_ratio, chi2_stat",0.20222578491558374,0.0,0.11482478230015761,0.08844258263033382,0.5941048275599866
