suspicious_getCellLocation,suspicious_getSubscriberId,perm_android_permission_REQUEST_INSTALL_PACKAGES,suspicious_getWifiState,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_READ_PHONE_STATE,n_used_permissions,n_permissions,suspicious_getSimCountryIso,n_api_calls,perm_android_permission_ACCESS_WIFI_STATE,n_providers,perm_android_permission_READ_LOGS,intent_android_intent_action_PACKAGE_ADDED,suspicious_Ljava_lang_System___loadLibrary,perm_android_permission_WRITE_MEDIA_STORAGE,suspicious_Ljava_lang_System___load,suspicious_sendTextMessage,perm_android_permission_READ_EXTERNAL_STORAGE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_SEND_SMS,suspicious_adb_enabled,perm_android_permission_CHANGE_NETWORK_STATE,suspicious_Landroid_telephony_SmsMessage___getMessageBody,n_urls,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_WRITE_SETTINGS,suspicious_Ldalvik_system_DexClassLoader_,perm_android_permission_MODE_WORLD_READABLE,perm_com_ty_launcher_permission_READ_SETTINGS,label
0,0,0,0,0,0,9,9,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,1,1,1,0,0,0
0,0,0,0,0,0,9,9,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,1,1,1,0,0,0
0,0,0,0,0,0,9,9,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,1,1,1,0,0,0
0,0,0,0,0,0,10,9,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,1,1,1,0,0,0
0,0,0,0,0,0,10,9,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,1,1,1,0,0,0
0,0,0,0,0,0,10,9,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,1,1,1,0,0,0
0,0,0,0,0,0,10,9,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,1,1,1,0,0,0
0,0,0,0,0,0,9,7,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,1,1,1,0,0,1
0,0,0,0,0,0,9,8,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,1,0,1,0,0,0
0,0,0,0,0,1,9,8,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,0,10,7,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,1,1,1,0,0,0
0,0,0,0,0,1,9,7,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,1,0,0,0
0,0,0,0,0,0,8,8,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,1,1,1,0,0,0
0,0,0,0,0,0,8,8,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,1,1,1,0,0,0
0,0,0,0,0,0,10,8,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,1,0,0,0
0,0,0,0,0,0,8,8,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,1,1,1,0,0,0
0,0,0,0,0,1,10,9,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,0,0
0,0,0,0,0,0,9,8,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0
0,0,0,0,0,0,9,8,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0
0,0,0,0,0,1,10,9,0,28,1,0,0,0,1,0,1,0,0,0,0,0,0,0,33,1,0,1,0,0,0
0,0,0,0,0,0,9,8,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0
0,0,0,0,0,0,9,8,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0
0,0,0,0,0,0,9,8,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0
0,0,0,0,0,0,9,8,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0
0,0,0,0,0,0,9,8,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,1,0,0,0
0,0,0,0,0,0,9,8,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,1,0,0,0
0,0,0,0,0,0,9,7,0,27,0,1,0,0,0,0,0,0,1,0,0,0,0,0,33,1,0,1,0,0,1
0,0,0,0,0,1,9,9,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,1,0,0,0
0,0,0,0,0,0,10,9,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,1,0,0,0
0,0,0,0,0,1,9,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,1,1,0,0,0
0,0,0,0,0,0,9,10,0,26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,34,1,0,1,0,0,1
0,0,0,0,0,1,8,7,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,1,0,0,1
0,0,0,0,0,1,9,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0
0,0,0,0,0,1,9,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,1
0,0,0,0,0,1,9,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0
0,0,0,0,0,1,9,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,1,9,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,1,9,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,1,9,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,1,10,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,1,1,0,0,0
0,0,0,0,0,1,9,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,1,9,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,1,9,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,1,8,8,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0,1,0,0,0
0,0,0,0,0,1,9,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,1,0,0,0
0,0,0,0,0,0,8,8,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,1,1,1,0,0,0
0,0,0,0,0,1,7,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0
0,0,0,0,0,1,9,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,1,9,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,1,9,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,1,9,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,1,9,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,1,0,0,0
0,0,0,0,0,1,9,10,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0
0,0,0,0,0,1,9,10,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0
0,0,0,0,0,1,8,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,1,1,0,0,0
0,0,0,0,0,1,9,10,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0
0,0,0,0,0,1,9,10,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0
