feature,method_count,aggregated_score,score_std,rank_mean,rank_std,top_methods,entropy_reduction_ratio,mutual_information,chi2_stat,f_stat,pearson_r
n_permissions,5,0.6709514831721874,0.23962288178045402,4.8,1.7204650534085253,"pearson_r, entropy_reduction_ratio, f_stat",0.7539261012046453,0.6730369165796812,0.2306456910798312,0.7407839726246707,0.9563647343721089
perm_android.permission.SYSTEM_ALERT_WINDOW,5,0.6427727203912971,0.33283262048790463,5.8,3.370459909270543,"pearson_r, f_stat, entropy_reduction_ratio",0.6581822790913626,0.6421510799756517,0.03245663530723183,0.896734389874318,0.9843392177079215
perm_android.permission.WRITE_SETTINGS,5,0.5811799470128555,0.3027461451615694,8.4,2.1540659228538015,"pearson_r, f_stat, mutual_information",0.5731711443982497,0.6510576031837192,0.030237366652745856,0.7028452670840794,0.9485883537454831
perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.5485456150618393,0.29165761682648444,11.2,2.4,"pearson_r, f_stat, mutual_information",0.5410383002307836,0.6192874711986533,0.029894612383411866,0.6220476233462755,0.9304600681500725
perm_android.permission.GET_TASKS,5,0.5451693671271615,0.29580794486044165,12.4,3.8781438859330635,"pearson_r, f_stat, mutual_information",0.5235283029168466,0.586337084951911,0.025745580844483282,0.6526417193402269,0.9375941475823397
intent_android.net.conn.CONNECTIVITY_CHANGE,5,0.5314763652164797,0.29003813422365116,13.4,2.727636339397171,"pearson_r, f_stat, mutual_information",0.5051370210303114,0.5974376094462083,0.026443810235292183,0.6026197397513948,0.9257436456191918
perm_android.permission.CHANGE_WIFI_STATE,5,0.5231658457161202,0.28843997552460576,15.0,3.1622776601683795,"pearson_r, f_stat, mutual_information",0.5002063955775267,0.5685999110062019,0.02606838304412653,0.5966825875197309,0.9242719514330152
intent_android.intent.action.USER_PRESENT,5,0.4964877132434699,0.27972493647953794,15.8,4.308131845707603,"pearson_r, mutual_information, f_stat",0.47010408958556804,0.6215721838607747,0.027890106263178373,0.47299850517196157,0.8898736813358666
intent_android.intent.action.PACKAGE_REMOVED,5,0.4383216592274426,0.26709746611952,18.8,4.1182520563948,"pearson_r, mutual_information, entropy_reduction_ratio",0.41313061967909964,0.5014631902561877,0.02543332806120986,0.3898691145998855,0.8617120435408305
n_urls,4,0.7338095518217479,0.37621524987788346,201.4,399.30068870464027,"entropy_reduction_ratio, chi2_stat, mutual_information",1.0,0.8945724092391655,1.0,0.774475349869574,0.0
