cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_selected_features,n_selected_features_raw,n_selected_features_analysis,threshold_pass_count,used_fallback,selection_mode,mean_reduction_ratio,mean_conditional_entropy
0,47608,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
1,34247,30,6,24,0.7219280948873623,5,5,5,5,False,threshold_top_k,0.012074323306667842,0.7132113016655253
2,33066,30,29,1,0.21084230031853213,1,1,1,1,False,threshold_top_k,0.003911529516659041,0.21001758443747598
3,49493,30,1,29,0.21084230031853213,0,30,0,0,True,fallback_top_k,0.0,0.2108423003185322
4,17873,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
5,68692,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
6,64117,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
7,52724,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
8,36908,30,27,3,0.4689955935892812,5,5,5,5,False,threshold_top_k,0.010519678219910285,0.4640619108581662
9,64019,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
10,33475,30,0,30,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
11,34600,30,29,1,0.21084230031853213,5,5,5,5,False,threshold_top_k,0.008970949096555842,0.20895084477497392
12,60182,30,29,1,0.21084230031853213,5,5,5,5,False,threshold_top_k,0.011888607910397347,0.2083356788791189
13,49445,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
14,51180,30,23,7,0.783776947484701,7,7,7,7,False,threshold_top_k,0.03163119009222955,0.7589851498689049
15,15155,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
16,22736,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
17,55655,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
18,39316,30,27,3,0.4689955935892812,25,25,25,25,False,threshold_top_k,0.02961824434938856,0.4551047674995674
19,16960,30,20,10,0.9182958340544896,17,17,17,17,False,threshold_top_k,0.01992002011120725,0.9000033625720867
20,2786,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
21,38329,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
22,20674,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
23,40644,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
24,30562,30,29,1,0.21084230031853213,11,11,11,11,False,threshold_top_k,0.017106726352781203,0.20723547878339219
25,50300,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
26,56635,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
27,39031,30,24,6,0.7219280948873623,0,30,0,0,True,fallback_top_k,0.0002020947005049384,0.7217821970452398
28,51026,30,29,1,0.21084230031853213,4,4,4,4,False,threshold_top_k,0.007533989634833483,0.20925381661334794
29,2805,30,18,12,0.9709505944546686,0,30,0,0,True,fallback_top_k,0.0067979907427880935,0.9643500813018612
30,49709,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
31,6325,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
32,6739,30,29,1,0.21084230031853213,3,3,3,3,False,threshold_top_k,0.008577068274975936,0.2090338915134472
33,20675,30,26,4,0.5665095065529053,16,16,16,16,False,threshold_top_k,0.022668031332897576,0.5536678513079797
34,72858,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
35,32496,30,2,28,0.35335933502142136,3,3,3,3,False,threshold_top_k,0.011935501778403839,0.34914181404985767
36,7218,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
37,37810,30,0,30,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
38,42977,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
39,57638,30,19,11,0.9480782435939055,0,30,0,0,True,fallback_top_k,0.008553874373829718,0.9399685014016418
40,61474,30,29,1,0.21084230031853213,10,10,10,10,False,threshold_top_k,0.016675472928373767,0.20732640524741447
41,37195,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
42,22570,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
43,9553,30,29,1,0.21084230031853213,0,30,0,0,True,fallback_top_k,0.008600349534514811,0.20902898283913168
44,48944,30,19,11,0.9480782435939055,12,12,12,12,False,threshold_top_k,0.01093159737498343,0.9377142339549552
45,32669,30,23,7,0.783776947484701,3,3,3,3,False,threshold_top_k,0.017985939334390178,0.7696799828555474
46,24854,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
47,12070,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
48,56842,30,25,5,0.6500224216483541,5,5,5,5,False,threshold_top_k,0.017003238183497985,0.6389699355884529
49,36778,30,25,5,0.6500224216483541,3,3,3,3,False,threshold_top_k,0.011980438841486639,0.642234867780201
50,41009,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
51,34132,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
52,63702,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
53,42853,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
54,48092,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
55,57400,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
56,10503,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
57,58656,30,25,5,0.6500224216483541,1,1,1,1,False,threshold_top_k,0.0023616750739104144,0.6484872798976644
58,1462,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
59,25995,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
60,6882,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
61,550,30,28,2,0.35335933502142136,6,6,6,6,False,threshold_top_k,0.01747043171820565,0.34718599488693913
62,56746,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
63,66729,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
64,56778,30,27,3,0.4689955935892812,0,30,0,0,True,fallback_top_k,0.005804102618006466,0.4662734950366962
65,57218,30,27,3,0.4689955935892812,8,8,8,8,False,threshold_top_k,0.04022758778826113,0.45012903217586087
66,1620,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
67,11353,30,29,1,0.21084230031853213,5,5,5,5,False,threshold_top_k,0.008142995819837866,0.2091254123483934
68,33396,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
69,12343,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
70,58840,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
71,4868,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
72,46092,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
73,9568,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
74,54043,30,28,2,0.35335933502142136,23,23,23,23,False,threshold_top_k,0.033382693986238894,0.34156324847322045
75,20688,30,28,2,0.35335933502142136,2,2,2,2,False,threshold_top_k,0.010006553489510423,0.34982342593451177
76,30703,30,29,1,0.21084230031853213,3,3,3,3,False,threshold_top_k,0.006469252725515664,0.20947830819254257
77,24349,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
78,52075,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
79,17910,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
80,51308,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
81,47182,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
82,62924,30,28,2,0.35335933502142136,3,3,3,3,False,threshold_top_k,0.00941474541038317,0.35003254684381246
83,34568,30,28,2,0.35335933502142136,1,1,1,1,False,threshold_top_k,0.0116204427270278,0.3492531431067443
84,55182,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
85,7268,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
86,36474,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
87,42194,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
88,25647,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
89,56813,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
90,72014,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
91,6664,30,29,1,0.21084230031853213,7,7,7,7,False,threshold_top_k,0.011704784883134561,0.20837443654903853
92,57742,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
93,30057,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
94,37788,30,28,2,0.35335933502142136,2,2,2,2,False,threshold_top_k,0.01768272890786267,0.347110977693175
95,35491,30,29,1,0.21084230031853213,13,13,13,13,False,threshold_top_k,0.035297786253027354,0.20340003386879205
96,3273,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
97,5934,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
98,35233,30,20,10,0.9182958340544896,5,5,5,5,False,threshold_top_k,0.01942813642759046,0.9004550573095912
99,59461,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
100,69221,30,27,3,0.4689955935892812,0,30,0,0,True,fallback_top_k,0.006141120961006315,0.4661154349188706
101,23121,30,1,29,0.21084230031853213,0,30,0,0,True,fallback_top_k,0.0,0.2108423003185322
102,60915,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
103,8565,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
104,37009,30,29,1,0.21084230031853213,11,11,11,11,False,threshold_top_k,0.016280719749882277,0.20740963591562567
105,58382,30,28,2,0.35335933502142136,25,25,25,25,False,threshold_top_k,0.037932178027880244,0.3399556458175755
106,60163,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
107,37065,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
108,67407,30,23,7,0.783776947484701,5,5,5,5,False,threshold_top_k,0.014214255759576983,0.7726361414946927
109,70286,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
110,40841,30,19,11,0.9480782435939055,1,1,1,1,False,threshold_top_k,0.008193444221284473,0.9403102173876052
111,20722,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
112,8834,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
113,70393,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
114,30619,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
115,21087,30,26,4,0.5665095065529053,1,1,1,1,False,threshold_top_k,0.008798763309358786,0.5615249234922446
116,50066,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
117,37501,30,26,4,0.5665095065529053,2,2,2,2,False,threshold_top_k,0.014941206986532877,0.5580451707556598
118,17502,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
119,14543,30,12,18,0.9709505944546686,2,2,2,2,False,threshold_top_k,0.02158212649822485,0.9499954159016213
120,52387,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
121,14946,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
122,40696,30,28,2,0.35335933502142136,4,4,4,4,False,threshold_top_k,0.02444994412166739,0.3447197190252781
123,58376,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
124,32902,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
125,62217,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
126,48876,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
127,22914,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
128,18286,30,23,7,0.783776947484701,5,5,5,5,False,threshold_top_k,0.019772058286783436,0.7682800639951961
129,51042,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
130,41829,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
131,24680,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
132,27421,30,29,1,0.21084230031853213,20,20,20,20,False,threshold_top_k,0.03293720518976685,0.20389774421025827
133,49683,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
134,13634,30,27,3,0.4689955935892812,2,2,2,2,False,threshold_top_k,0.009722088559811985,0.46443597689424465
135,32676,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
136,2305,30,29,1,0.21084230031853213,2,2,2,2,False,threshold_top_k,0.005349631712922008,0.20971437166232276
137,53680,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
138,53889,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
139,37098,30,24,6,0.7219280948873623,7,7,7,7,False,threshold_top_k,0.0299109239564699,0.7003345585391471
140,26486,30,27,3,0.4689955935892812,4,4,4,4,False,threshold_top_k,0.01050135900102175,0.46407050249110293
141,72523,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
142,19553,30,29,1,0.21084230031853213,1,1,1,1,False,threshold_top_k,0.0063195159214366635,0.20950987904475693
143,60535,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
144,74158,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
145,45894,30,27,3,0.4689955935892812,1,1,1,1,False,threshold_top_k,0.008838171957843097,0.4648505298856685
146,23350,30,28,2,0.35335933502142136,1,1,1,1,False,threshold_top_k,0.008414514650883363,0.3503859877198573
147,47100,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
148,7032,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
149,19731,30,26,4,0.5665095065529053,0,30,0,0,True,fallback_top_k,0.0,0.5665095065529053
150,58705,30,1,29,0.21084230031853213,1,1,1,1,False,threshold_top_k,0.004142719749392261,0.20996883975699535
151,37225,30,3,27,0.4689955935892812,3,3,3,3,False,threshold_top_k,0.01143210526880689,0.463633986592762
152,28521,30,27,3,0.4689955935892812,6,6,6,6,False,threshold_top_k,0.021644367219267036,0.45884448073741674
153,47475,30,26,4,0.5665095065529053,3,3,3,3,False,threshold_top_k,0.010473529444352626,0.5605761525555178
154,42532,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
155,12495,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
156,8079,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
157,70211,30,26,4,0.5665095065529053,12,12,12,12,False,threshold_top_k,0.022061158013143546,0.5540116508128936
158,47189,30,27,3,0.4689955935892812,5,5,5,5,False,threshold_top_k,0.019958326634316095,0.4596352263423714
159,11400,30,4,26,0.5665095065529053,26,26,26,26,False,threshold_top_k,0.021965199705643142,0.5540660121063253
160,58662,30,25,5,0.6500224216483541,4,4,4,4,False,threshold_top_k,0.008715511523758171,0.6443571437417768
161,22478,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
162,3117,30,24,6,0.7219280948873623,2,2,2,2,False,threshold_top_k,0.010928891910409515,0.7140382207712502
163,41679,30,28,2,0.35335933502142136,4,4,4,4,False,threshold_top_k,0.023395522726261338,0.3450923086683912
164,53667,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
165,43380,30,29,1,0.21084230031853213,1,1,1,1,False,threshold_top_k,0.004880022721585367,0.20981338510230643
166,14160,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
167,49526,30,27,3,0.4689955935892812,1,1,1,1,False,threshold_top_k,0.007576835672242009,0.4654420910456497
168,72302,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
169,48680,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
170,24713,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
171,31337,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
172,10594,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
173,41407,30,20,10,0.9182958340544896,3,3,3,3,False,threshold_top_k,0.013469924196486823,0.9059264587798261
174,21052,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
175,31276,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
176,49714,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
177,8913,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
178,21556,30,30,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
179,68938,30,29,1,0.21084230031853213,11,11,11,11,False,threshold_top_k,0.020310039068836078,0.20656008496169956
180,23246,30,29,1,0.21084230031853213,3,3,3,3,False,threshold_top_k,0.006478461892801336,0.209476366510528
