n_api_calls,suspicious_getCellLocation,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,n_providers,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_GET_TASKS,perm_android_permission_ACCESS_FINE_LOCATION,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_activities,suspicious_getSubscriberId,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_USER_PRESENT,n_services,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,intent_android_appwidget_action_APPWIDGET_CONFIGURE,intent_com_google_android_gms_analytics_ANALYTICS_DISPATCH,n_used_permissions,n_urls,n_receivers,perm_com_android_vending_BILLING,label
53,1,1,1,0,0,7,1,1,0,1,0,0,0,0,0,0,47,0,0,0,0,5,0,0,0,16,105,5,0,1
53,1,1,1,0,0,7,1,1,0,1,0,0,0,0,0,0,47,0,0,0,0,5,0,0,0,16,105,5,0,1
51,1,1,1,0,0,11,2,1,0,1,0,0,1,1,0,0,48,0,0,0,0,7,0,0,0,15,106,3,0,1
51,1,1,1,0,0,11,2,1,0,1,0,0,1,1,0,0,48,0,0,0,0,7,0,0,0,15,106,3,0,1
52,1,1,1,0,0,11,2,1,0,1,0,0,1,1,0,0,47,0,0,0,0,7,0,0,0,15,109,3,0,1
52,1,1,1,0,0,11,2,1,0,1,0,0,1,1,0,0,47,0,0,0,0,7,0,0,0,15,109,3,0,1
56,1,1,1,0,0,10,1,1,0,1,0,0,0,0,0,0,52,0,0,0,0,7,0,0,0,17,108,7,0,1
56,1,1,1,0,0,11,1,1,0,1,0,0,0,0,0,0,52,0,0,0,0,7,0,0,0,17,108,7,0,1
47,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,42,0,0,0,0,4,0,1,1,13,105,8,0,0
47,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,42,0,0,0,0,4,0,1,1,13,105,8,0,0
