feature,mean_cluster_coverage,max_cluster_coverage,appearances
perm_com.android.launcher.permission.UNINSTALL_SHORTCUT,0.0604828885983655,0.15,22
suspicious_getPackageInfo,0.05717313154895638,0.13,22
perm_android.permission.READ_SMS,0.05148010406108787,0.15,22
perm_android.permission.GET_ACCOUNTS,0.04940411704718843,0.12,22
perm_android.permission.RESTART_PACKAGES,0.04281928495545772,0.09,22
intent_com.yandex.metrica.IMetricaService,0.04038985003982005,0.08,22
perm_com.android.launcher.permission.READ_SETTINGS,0.03988006026968235,0.1,22
perm_com.anddoes.launcher.permission.UPDATE_COUNT,0.03888761150308841,0.09,22
perm_com.htc.launcher.permission.UPDATE_SHORTCUT,0.03834256645804336,0.09,22
perm_com.majeur.launcher.permission.UPDATE_BADGE,0.03774121236358789,0.09,22
perm_com.sec.android.provider.badge.permission.WRITE,0.03745111682004303,0.09,22
intent_com.inmobi.share.id,0.03720825032372723,0.09,22
perm_com.sec.android.provider.badge.permission.READ,0.03717838954731576,0.09,22
suspicious_getWifiState,0.03687853150090702,0.1,22
perm_com.sonyericsson.home.permission.BROADCAST_BADGE,0.03654134341026963,0.09,22
perm_android.permission.WRITE_SMS,0.03629861341409032,0.08,22
perm_android.permission.RECEIVE_SMS,0.03576218433626952,0.08,22
suspicious_setWifiEnabled,0.035097570494091186,0.07,22
suspicious_adb_enabled,0.034043581947001265,0.07,22
intent_android.intent.action.PACKAGE_REPLACED,0.033962981359502056,0.06,22
perm_android.permission.RECORD_AUDIO,0.033790161378043804,0.057057057057057055,22
intent_android.intent.action.DOWNLOAD_COMPLETE,0.03273338812990883,0.065,22
suspicious_getSystemService,0.032515522939638115,0.09,22
perm_android.permission.BLUETOOTH,0.02981437095054372,0.065,22
intent_com.igexin.sdk.action.refreshls,0.02963137880204467,0.06,22
intent_android.intent.action.QUICKBOOT_POWERON,0.02946853962540825,0.06,22
perm_android.permission.KILL_BACKGROUND_PROCESSES,0.029224362662275075,0.06,22
intent_android.intent.action.PACKAGE_INSTALL,0.02844715815231712,0.07,22
perm_android.permission.DISABLE_KEYGUARD,0.026341556258772814,0.055,22
perm_com.huawei.android.launcher.permission.CHANGE_BADGE,0.026067955450678904,0.06,22
perm_android.permission.CALL_PHONE,0.025878449535318163,0.05,22
perm_com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,0.024840327757544314,0.06,22
suspicious_Landroid/telephony/SmsMessage;->getMessageBody,0.024024766709229817,0.05,22
perm_android.permission.SET_WALLPAPER_HINTS,0.02333001925413443,0.04,22
perm_com.google.android.providers.gsf.permission.READ_GSERVICES,0.023279115511868963,0.042042042042042045,22
perm_com.android.browser.permission.READ_HISTORY_BOOKMARKS,0.022844724834526875,0.05,21
perm_android.permission.RECEIVE_USER_PRESENT,0.022665432842997327,0.05,22
perm_android.permission.CHANGE_CONFIGURATION,0.021903833074498943,0.042,22
intent_android.intent.action.DOWNLOAD_NOTIFICATION_CLICKED,0.021367819357621397,0.05,21
intent_com.google.vr.vrcore.ACTION_NONE,0.021103046794408522,0.07,22
intent_com.google.android.gms.appinvite.ACTION_PREVIEW,0.0205788370581412,0.05,22
intent_android.intent.action.CREATE_SHORTCUT,0.020352192297003333,0.04504504504504504,22
intent_com.google.android.gms.measurement.UPLOAD,0.020313415285820806,0.045,22
intent_com.qihoo.commonreceiver.ARRIVED,0.02,0.02,4
intent_com.qihoo.commonreceiver.CLEARED,0.02,0.02,4
intent_com.qihoo.commonservice.SERVICE,0.02,0.02,4
intent_android.intent.action.SEND,0.01994258265464024,0.05,22
intent_com.google.android.gms.iid.InstanceID,0.01938621907068218,0.04,22
perm_com.android.launcher.permission.WRITE_SETTINGS,0.018838334790044448,0.045,22
perm_android.permission.READ_APP_BADGE,0.01858540552331794,0.05,22
perm_android.permission.MODIFY_AUDIO_SETTINGS,0.01838851230572886,0.04804804804804805,22
perm_android.permission.READ_SETTINGS,0.017920846379454656,0.04,22
intent_com.adroid.SERVICE,0.017412245952895717,0.045,19
perm_android.permission.BLUETOOTH_ADMIN,0.017374157171997605,0.04,21
perm_android.permission.ACCESS_COARSE_UPDATES,0.016704291656001315,0.04,22
perm_android.permission.READ_CONTACTS,0.016649643144444184,0.03003003003003003,18
intent_android.intent.action.SEARCH,0.016640131105638004,0.03,22
intent_android.intent.action.MAIN,0.016229538695045596,0.04,22
perm_android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,0.016201807386270493,0.03,22
perm_com.oppo.launcher.permission.WRITE_SETTINGS,0.01599395043186285,0.04,22
intent_android.intent.action.MEDIA_MOUNTED,0.015833753884143806,0.03903903903903904,21
intent_android.net.wifi.WIFI_STATE_CHANGED,0.015812650983316853,0.03,22
perm_android.webkit.permission.PLUGIN,0.01484686879167983,0.04,22
intent_com.google.android.gms.analytics.ANALYTICS_DISPATCH,0.014557237283092111,0.03,22
intent_com.igexin.sdk.action.pushmanager,0.014401430606589575,0.03,22
perm_android.permission.FLASHLIGHT,0.014247316466272674,0.04,22
intent_android.intent.action.MY_PACKAGE_REPLACED,0.014138056336316684,0.03,22
perm_android.permission.GET_PACKAGE_SIZE,0.014060460580556563,0.028,18
perm_me.everything.badger.permission.BADGE_COUNT_READ,0.013884662870865629,0.05,22
perm_me.everything.badger.permission.BADGE_COUNT_WRITE,0.013448168187820258,0.05,22
perm_android.permission.REQUEST_INSTALL_PACKAGES,0.013275784974045322,0.022,22
perm_android.permission.BROADCAST_STICKY,0.01307921650333168,0.03,21
intent_android.intent.action.DATA_SMS_RECEIVED,0.012719976004799039,0.03,10
intent_android.intent.action.BATTERY_CHANGED,0.012648419374274205,0.03,22
perm_com.google.android.gms.permission.ACTIVITY_RECOGNITION,0.012486632023998235,0.03,19
intent_android.intent.action.PACKAGE_RESTARTED,0.012455746688500137,0.04,22
intent_android.intent.action.PACKAGE_CHANGED,0.012101053826908655,0.03,22
perm_android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,0.012057865249226979,0.021021021021021023,22
intent_com.sina.weibo.sdk.action.ACTION_SDK_REQ_ACTIVITY,0.012019634238590447,0.03,22
intent_android.intent.action.CHINAMOBILE_OMS_GAME,0.012001548955263475,0.04,19
perm_com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,0.011995096967502488,0.02702702702702703,22
intent_android.provider.Telephony.SMS_RECEIVED,0.011984051428862467,0.03,22
perm_android.permission.READ_CALL_LOG,0.011983417460652014,0.021021021021021023,20
perm_android.permission.INSTALL_PACKAGES,0.01168825675358053,0.02702702702702703,19
intent_cryopiggy.start,0.011610707096909857,0.03,22
perm_com.android.launcher3.permission.READ_SETTINGS,0.011583171825523356,0.03,21
intent_android.intent.action.EXTERNAL_APPLICATIONS_AVAILABLE,0.011338771557727766,0.025,22
intent_android.net.wifi.STATE_CHANGE,0.01131637646444685,0.03003003003003003,18
intent_android.intent.action.PHONE_STATE,0.011275375473635822,0.021021021021021023,22
intent_android.intent.action.MEDIA_UNMOUNTED,0.010551711819798203,0.02,20
perm_com.android.vending.CHECK_LICENSE,0.01053556235699807,0.02,18
perm_com.android.launcher2.permission.READ_SETTINGS,0.010477849346475622,0.02,21
perm_android.permission.PACKAGE_USAGE_STATS,0.010419454110815839,0.025,22
intent_com.google.android.gms.gcm.ACTION_TASK_READY,0.010234788177499635,0.03,18
intent_com.baidu.location.service_v2.2,0.010011715303998024,0.02,17
perm_android.permission.BIND_APPWIDGET,0.01,0.01,3
perm_android.permission.PROCESS_OUTGOING_CALLS,0.009964524641189309,0.018018018018018018,21
intent_com.facebook.sdk.ACTION_CURRENT_ACCESS_TOKEN_CHANGED,0.009917820725859118,0.024024024024024024,21
intent_co.ronash.pushe.service.ScreenStateService,0.00988882223555289,0.02,18
intent_android.intent.action.DATE_CHANGED,0.009783646531097041,0.02,21
intent_cn.play.dservice,0.009740003161055793,0.018018018018018018,19
perm_android.permission.RECEIVE_MMS,0.009689695522928877,0.018018018018018018,14
intent_android.net.ConnectivityManager.CONNECTIVITY_ACTION,0.009601201201201202,0.02,5
intent_android.intent.action.SCREEN_ON,0.009535581343619736,0.02,21
intent_com.gridappsinc.launcher.theme.apk_action,0.009319246552000003,0.02,22
intent_com.gtp.nextlauncher.theme,0.009319246552000003,0.02,22
intent_android.intent.action.MEDIA_BUTTON,0.009312810861251174,0.024024024024024024,20
intent_com.evernote.android.job.ADD_JOB_CREATOR,0.00922347295246833,0.02,17
intent_com.xiaomi.mipush.ERROR,0.008999900019996001,0.02,12
intent_com.xiaomi.mipush.RECEIVE_MESSAGE,0.008916566686662667,0.02,12
perm_android.permission.EXPAND_STATUS_BAR,0.008810353244666383,0.02,21
perm_android.permission.FOREGROUND_SERVICE,0.00880210884749977,0.015,18
perm_android.permission.BATTERY_STATS,0.008710150189454329,0.02,22
intent_android.intent.action.SIG_STR,0.008634044646736845,0.018018018018018018,19
perm_android.permission.NFC,0.008614648141442784,0.021021021021021023,18
perm_android.permission.ACCESS_DOWNLOAD_MANAGER,0.008586963087862907,0.02,15
perm_com.xiaomi.sdk.permission.PAYMENT,0.008478738786777178,0.02,18
intent_com.igexin.sdk.action.service.message,0.008422405351619509,0.02702702702702703,21
intent_com.lge.launcher2.THEME,0.008410155642909091,0.02,22
intent_com.phonemetra.turbo.launcher.icons.ACTION_PICK_ICON,0.008410155642909091,0.02,22
intent_android.intent.action.MEDIA_EJECT,0.008270899185292778,0.03,17
intent_co.ronash.pushe.ACTION_TASK_READY,0.008210559689863828,0.015,22
perm_android.permission.MANAGE_ACCOUNTS,0.008201998420954629,0.02,22
perm_android.permission.WRITE_CONTACTS,0.008131093548116025,0.016,17
intent_co.ronash.pushe.CHECK_TASKS,0.008074059553363693,0.015,22
intent_safiap.GET_SHARED_DATA,0.007937832417136555,0.015,22
intent_safiap.framework.ACTION_CANCEL_NOTIFICATION,0.007937832417136555,0.015,22
intent_safiap.framework.ACTION_CHECK_UPDATE,0.007937832417136555,0.015,22
intent_safiap.framework.ACTION_SET_TIMER,0.007937832417136555,0.015,22
intent_android.intent.action.SCREEN_OFF,0.007864555111737255,0.03,19
intent_android.intent.action.BATTERY_CHANGED_ACTION,0.007858658727285002,0.015,21
intent_com.tencent.mm.plugin.openapi.Intent.ACTION_REFRESH_WXAPP,0.007790702760348831,0.02,20
perm_android.permission.UPDATE_APP_OPS_STATS,0.007780046793444115,0.012012012012012012,18
intent_com.xiaomi.hy.push.client.ONCLICK,0.007763798816813214,0.02,16
intent_co.ronash.pushe.RECEIVE,0.007752884717174213,0.02,17
intent_com.igexin.sdk.action.7fjUl2Z3LH6xYy7NQK4ni4,0.007673912146317665,0.015,22
perm_android.permission.SYSTEM_OVERLAY_WINDOW,0.0076713514439969155,0.016,14
perm_android.permission.INTERACT_ACROSS_USERS_FULL,0.007670846911698741,0.015,20
perm_android.permission.ACCESS_SUPERUSER,0.0074402223158971815,0.014,20
perm_android.permission.USE_CREDENTIALS,0.007425988358237203,0.015015015015015015,17
intent_cn.jpush.android.intent.NOTIFICATION_RECEIVED_PROXY,0.007366626674665067,0.02,18
intent_cn.jpush.android.intent.MESSAGE_RECEIVED,0.0072999733386656,0.015,18
intent_cn.jpush.android.intent.NOTIFICATION_OPENED,0.0072999733386656,0.015,18
perm_android.permission.RECORD_VIDEO,0.007282826423586507,0.016,17
intent_com.tencent.smtt.tbs.video.PLAY,0.0072452186239428795,0.015,18
intent_safiap.framework.ACTION_START_DOWNLOAD,0.007172967294143059,0.012012012012012012,21
intent_org.android.agoo.client.MessageReceiverService,0.0070199972017608485,0.015,21
perm_android.hardware.camera.autofocus,0.007001501501501502,0.01,8
perm_android.permission.WRITE_MEDIA_STORAGE,0.006981465508700062,0.015,20
intent_com.dzbook.service.PerpareDataService,0.006969175395690092,0.01,13
intent_com.igexin.sdk.action.64kVIzqls49c7TJxrBbWG4,0.006969175395690092,0.01,13
perm_android.permission.CLEAR_APP_CACHE,0.00691743465978619,0.015015015015015015,14
perm_com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,0.006912060110500423,0.02,20
intent_org.agoo.android.intent.action.RECEIVE,0.00690740866135199,0.015,17
intent_cn.egame.terminal.sdk.RECEIVER_CMD,0.0068666266746650675,0.01,6
intent_cn.egame.terminal.sdk.SERVICE_CMD,0.0068666266746650675,0.01,6
intent_safiap.framework.ACTION_TO_INSTALL,0.006792014913190679,0.012012012012012012,21
intent_safiap.framework.ACTION_TO_INSTALL_IAP,0.006792014913190679,0.012012012012012012,21
intent_android.intent.action.NEW_OUTGOING_CALL,0.006764793969952939,0.01,22
perm_com.android.alarm.permission.SET_ALARM,0.006744395865571631,0.012,21
intent_android.media.AUDIO_BECOMING_NOISY,0.006562390404801922,0.021021021021021023,20
intent_com.chance.service,0.006501501501501502,0.01,8
intent_com.snowfish.a.a.s.ABGSvc,0.006500858000858,0.015,14
intent_cn.jpush.android.intent.PUSH_TIME,0.006255515563553956,0.01,18
intent_com.umeng.message.message.handler.action,0.006236460074174884,0.015,17
intent_cn.jpush.android.intent.NOTIFICATION_RECEIVED,0.006188862227554489,0.01,18
intent_cn.jpush.android.intent.REGISTRATION,0.006188862227554489,0.01,18
intent_android.intent.action.UMS_CONNECTED,0.006119976004799041,0.01,10
perm_com.android.launcher2.permission.WRITE_SETTINGS,0.006119976004799041,0.01,10
intent_com.aspire.purchaseservice.BIND,0.006110024596227356,0.01,22
intent_safiap.framework.sdk.ISAFFramework,0.006077729198904964,0.012012012012012012,21
perm_android.permission.INTERACT_ACROSS_USERS,0.006056690063388724,0.01,18
perm_android.permission.REORDER_TASKS,0.006041954011600082,0.012012012012012012,15
intent_com.umeng.messge.registercallback.action,0.006001165956527825,0.015,17
perm_android.permission.DEVICE_POWER,0.005910738753150271,0.015,20
intent_com.baidu.autoupdatesdk.ACTION_AS_DOWNLOAD_COMPLETE,0.005789045073868109,0.01,15
intent_com.baidu.autoupdatesdk.ACTION_DOWNLOAD_COMPLETE,0.005789045073868109,0.01,15
intent_safiap.framework.ACTION_NETWORK_ERROR_FRAMEWORK,0.005591025338475848,0.01,21
intent_safiap.framework.ACTION_NETWORK_ERROR_IAP,0.005591025338475848,0.01,21
intent_android.view.InputMethod,0.005523697062389324,0.01,18
intent_android.intent.action.PACKAGE_FULLY_REMOVED,0.005466806838832434,0.01,18
intent_com.getui.gis.action.64kVIzqls49c7TJxrBbWG4,0.005451298816813214,0.01,16
intent_com.getui.gtc.sdk.service.action,0.005451298816813214,0.01,16
intent_cn.jpush.android.intent.PushService,0.00544701647905713,0.01,17
intent_cn.jpush.android.intent.REGISTER,0.00544701647905713,0.01,17
intent_cn.jpush.android.intent.REPORT,0.00544701647905713,0.01,17
intent_cn.jpush.android.ui.PushActivity,0.00544701647905713,0.01,17
perm_com.android.launcher3.permission.WRITE_SETTINGS,0.005400674542846109,0.01,13
perm_android.permission.WRITE_APN_SETTINGS,0.00527998400319936,0.01,15
intent_com.cootek.usage.alarm_operation,0.005278761849847633,0.01,13
