feature,importance
perm_android.permission.READ_PHONE_STATE,0.5849657296041124
intent_com.google.android.c2dm.intent.RECEIVE,0.13671152003773002
suspicious_Base64,0.08596571560701845
perm_android.permission.GET_TASKS,0.04572470607938811
suspicious_getSubscriberId,0.03325712870196283
suspicious_getCellLocation,0.03131098339515301
suspicious_getSystemService,0.019629658054264174
suspicious_Ldalvik/system/PathClassLoader;,0.017929529566452256
intent_com.inmobi.share.id,0.014316319365866437
intent_com.google.firebase.INSTANCE_ID_EVENT,0.010740607740527416
suspicious_sendTextMessage,0.010620401344399504
perm_com.android.launcher.permission.INSTALL_SHORTCUT,0.003563314083037426
intent_android.intent.action.USER_PRESENT,0.00316198803223825
perm_android.permission.ACCESS_NETWORK_STATE,0.0021023983878494293
