cluster_id,cluster_json,candidate_count,top_feature,top_method_count,top_aggregated_score,output_dir
36,cluster_36.json,50,perm_android.permission.GET_TASKS,5,0.7698421891377032,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_36
37,cluster_37.json,50,perm_com.android.launcher.permission.WRITE_SETTINGS,5,0.5352818226925837,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_37
38,cluster_38.json,50,suspicious_getSubscriberId,5,0.9460234951306434,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_38
39,cluster_39.json,50,n_api_calls,5,0.7931716088227734,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_39
40,cluster_40.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.9060150511227584,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_40
41,cluster_41.json,50,suspicious_getSubscriberId,5,0.95244193768329,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_41
42,cluster_42.json,50,n_permissions,5,0.7099315961778465,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_42
43,cluster_43.json,50,n_permissions,5,0.4881235768270047,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_43
44,cluster_44.json,50,perm_android.permission.DEVICE_POWER,5,0.5058709850349216,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_44
45,cluster_45.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.7714001563850615,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_45
46,cluster_46.json,50,suspicious_getSubscriberId,5,1.0,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_46
47,cluster_47.json,50,suspicious_getSubscriberId,5,0.9866647858370964,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_47
48,cluster_48.json,50,perm_android.permission.GET_TASKS,5,0.9987835882594398,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_48
49,cluster_49.json,50,n_api_calls,5,0.9111038069611382,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_49
50,cluster_50.json,50,suspicious_getSubscriberId,5,1.0,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_50
51,cluster_51.json,50,perm_android.permission.READ_PHONE_STATE,5,0.7941750824642513,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_51
52,cluster_52.json,50,perm_com.android.launcher.permission.WRITE_SETTINGS,5,0.5101339454528178,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_52
53,cluster_53.json,50,n_api_calls,5,0.9022649227722306,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_53
54,cluster_54.json,50,n_permissions,5,0.6112732823892953,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_54
55,cluster_55.json,50,n_api_calls,5,0.8893422906519316,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_55
56,cluster_56.json,50,perm_com.sec.android.provider.badge.permission.WRITE,4,0.767518186690109,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_56
57,cluster_57.json,50,suspicious_getCellLocation,4,0.7565479253220243,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_57
58,cluster_58.json,50,perm_android.permission.SYSTEM_ALERT_WINDOW,5,0.4651043633252157,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_58
59,cluster_59.json,50,intent_android.net.wifi.WIFI_STATE_CHANGED,4,0.6418928254825952,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_59
60,cluster_60.json,50,n_api_calls,5,0.9323431636530882,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_60
61,cluster_61.json,50,perm_android.permission.ACCESS_WIFI_STATE,5,0.5769769761131369,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_61
62,cluster_62.json,50,perm_android.permission.READ_PHONE_STATE,5,0.6567195168467778,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_62
63,cluster_63.json,50,n_api_calls,5,1.0,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_63
64,cluster_64.json,50,n_api_calls,5,0.8088813805976587,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_64
