perm_android_permission_GET_TASKS,perm_android_permission_SYSTEM_ALERT_WINDOW,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_urls,n_api_calls,n_used_permissions,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_READ_PHONE_STATE,suspicious_Base64,suspicious_getPackageInfo,suspicious_Cipher,suspicious_getExternalStorageDirectory,suspicious_Ljava_lang_System___load,suspicious_getSystemService,suspicious_getDeviceId,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_android_c2dm_intent_RECEIVE,intent_android_intent_action_PACKAGE_ADDED,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_PACKAGE_REMOVED,n_services,intent_com_android_vending_INSTALL_REFERRER,suspicious_system_bin_su,intent_android_intent_action_USER_PRESENT,perm_android_permission_ACCESS_COARSE_LOCATION,label
0,1,19,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
1,1,26,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,4,0,0,1,1,1
0,1,20,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,4,0,0,1,1,1
0,1,18,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,1
1,1,20,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,4,0,0,1,1,1
1,1,33,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,1,0
1,0,36,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,1,1
1,1,27,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,7,0,0,0,0,1
1,1,20,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,3,0,0,1,1,1
1,1,25,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1
1,1,15,0,6,12,4,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,5,0,0,1,1,1
1,1,38,1,6,8,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
1,1,29,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,11,0,0,0,0,1
1,1,22,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,8,0,0,1,0,1
1,1,22,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,8,0,0,1,1,1
1,1,19,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,9,0,0,1,1,1
0,0,14,1,8,9,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,1,1
1,0,19,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1
0,1,23,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,4,0,0,1,1,1
1,0,23,0,0,18,10,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,5,1,0,0,0,1
1,1,18,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1
1,1,21,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,3,0,0,0,1,1
1,1,30,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,5,0,0,1,1,1
1,1,17,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1
1,1,14,0,6,14,6,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,4,0,0,1,1,1
1,1,22,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,12,0,0,0,1,1
0,0,21,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,30,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7,0,0,1,1,1
1,0,19,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,1,1
0,1,27,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,11,0,0,1,1,1
1,1,14,0,10,12,7,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1
1,1,20,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
1,1,30,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,14,0,0,0,0,1
1,1,18,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1
1,1,23,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,8,1,0,1,1,1
1,1,22,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,9,0,0,0,0,1
1,1,27,0,3,6,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,4,0,0,1,1,1
1,0,17,1,3,5,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,13,0,0,0,1,1
1,1,21,1,18,11,8,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,4,0,0,1,0,1
1,1,39,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,5,0,0,0,0,1
1,1,33,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,1,1
1,1,23,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,1,1
1,1,18,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,11,0,0,1,0,1
1,1,20,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,1,1
1,1,20,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1
1,0,26,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,14,0,0,1,1,1
1,0,33,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1
1,1,17,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,1,1
1,1,26,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,9,0,0,1,0,1
1,1,21,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,1,1
1,0,16,0,14,11,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,29,1,3,6,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,10,0,0,1,1,1
1,1,18,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1
1,1,23,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,6,0,0,1,1,1
1,1,16,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1
1,1,12,0,3,6,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1
0,1,25,1,3,4,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,2,0,1,0,1,0
1,0,13,0,4,11,7,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,13,0,8,11,7,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,7,1,0,0,1,0
1,1,24,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,10,0,0,1,1,1
0,1,19,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,3,0,0,0,1,1
1,1,22,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,1
1,1,17,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,1
1,0,18,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,2,0,0,1,1,1
1,1,21,1,18,14,9,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,4,0,0,1,0,1
1,1,22,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,11,0,0,0,1,1
1,1,21,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,9,0,0,0,1,1
1,0,15,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1
1,1,26,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,15,0,0,1,1,1
1,0,19,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,1
1,1,30,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,12,0,0,0,1,1
1,1,14,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1
