perm_android_permission_SET_WALLPAPER,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_ADDED,intent_com_yandex_metrica_IMetricaService,suspicious_getSubscriberId,suspicious_system_bin_su,perm_android_permission_ACCESS_COARSE_UPDATES,intent_android_intent_action_DATA_SMS_RECEIVED,n_api_calls,n_providers,n_services,perm_android_permission_READ_LOGS,intent_com_inmobi_share_id,perm_com_google_android_c2dm_permission_RECEIVE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_google_firebase_MESSAGING_EVENT,suspicious_getCellSignalStrength,intent_com_xiaomi_push_PING_TIMER,intent_com_xiaomi_mipush_ERROR,intent_com_xiaomi_mipush_RECEIVE_MESSAGE,intent_android_intent_action_DOWNLOAD_NOTIFICATION_CLICKED,suspicious_Landroid_telephony_SmsMessage___getMessageBody,perm_android_permission_WRITE_SETTINGS,n_activities,n_used_permissions,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,label
0,0,0,0,0,0,0,0,27,2,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,39,10,1,0,0,0
0,0,0,0,0,0,0,0,25,2,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,39,9,1,1,0,0
0,0,0,0,0,0,0,0,25,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,39,9,1,0,0,0
0,0,0,0,0,0,0,0,19,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,37,8,1,0,0,0
0,0,0,0,0,0,0,0,25,2,11,0,0,1,0,1,0,1,0,0,0,0,0,0,0,47,12,1,0,1,0
0,0,1,0,0,0,0,0,28,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,38,12,0,0,0,0
0,0,0,0,0,0,0,0,25,2,11,0,0,1,0,1,0,1,0,0,0,0,0,0,0,47,12,1,0,1,0
0,0,0,0,0,1,0,0,27,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,12,0,0,0,0
0,0,0,0,0,0,0,0,20,2,10,0,0,1,0,1,0,1,0,0,0,0,0,0,0,38,10,1,0,1,0
0,0,0,0,0,1,0,0,25,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,9,0,0,0,0
0,1,0,0,1,0,0,0,27,3,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,40,9,1,1,0,0
0,0,0,0,0,0,0,0,27,6,12,0,0,1,0,1,0,1,0,0,0,0,0,0,0,49,10,1,0,1,0
0,0,0,0,0,0,0,0,20,1,11,0,0,1,0,1,0,1,0,0,0,0,0,0,0,37,11,1,1,0,1
0,0,0,0,0,1,0,0,20,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,9,1,0,0,0
0,0,0,0,0,0,0,0,31,5,12,0,0,1,0,1,0,1,0,0,0,0,0,0,0,42,13,1,0,1,0
0,0,0,0,1,0,0,0,29,2,9,0,0,1,0,1,0,1,1,0,0,0,0,1,0,48,11,1,1,0,1
0,0,0,0,0,0,0,0,27,5,12,0,0,1,0,1,0,1,0,0,0,0,0,0,0,49,10,1,0,1,0
0,0,0,0,0,0,0,0,22,1,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,37,8,1,1,1,0
0,1,1,1,0,1,0,0,31,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,44,12,0,0,0,0
0,1,0,1,1,0,0,0,28,3,11,0,0,1,0,1,0,1,0,0,0,0,0,0,0,37,11,1,0,0,0
