top_k,cumulative_ig,cumulative_mi,mean_ig,mean_mi,worst_ig_in_batch,worst_mi_in_batch,batch_feature_names,ig_gain,mi_gain,mean_ig_change
700,6.219509774081485,4.311035664406473,0.008885013962973549,0.006158622377723534,0.0010920985808346995,0.0007569850521993574,intent_com.huawei.intent.action.PUSH|perm_android.permission.BAIDU_LOCATION_SERVICE|intent_android.intent.action.PACKAGE_CHANGED|perm_com.miui.mihome2.permission.READ_SETTINGS|intent_show_cpuad|intent_cn.uc.gamesdk.sdkweb|intent_aspire.iap.SMS_DELIVERED_ACTION|intent_aspire.iap.SMS_SEND_ACTIOIN|intent_com.igexin.sdk.action.64kVIzqls49c7TJxrBbWG4|intent_pushy.me,0.011157439133312685,0.007733747477697506,-0.00011259811666148277
710,6.2301606679873185,4.318418301487955,0.008774874180263828,0.006082279297870359,0.0010636825654792847,0.0007372885713033657,intent_com.tencent.android.tpush.action.FEEDBACK|intent_com.tencent.android.tpush.action.PUSH_MESSAGE|intent_com.sogou.pushservice.action.METHOD|intent_show_lock_app|intent_show_lock|intent_com.yuetu.shentu.Intent.WECHAT_SHARE|intent_com.yuetu.shentu.Intent.WECHAT_PAY|intent_show_lock_forget_pwd|intent_com.qihoo.psdk.service.action.local|intent_show_about,0.010650893905833847,0.007382637081481569,-0.00011013978270972037
720,6.240577160918486,4.325638464194609,0.008667468279053452,0.00600783120027029,0.0010016764673095313,0.0006943092191478012,intent_show_lock_set_email|intent_show_feedback|intent_com.yuetu.shentu.Intent.WECHAT_AUTH|perm_com.miui.mihome2.permission.WRITE_SETTINGS|intent_android.appwidget.action.APPWIDGET_CONFIGURE|perm_android.permission.MOUNT_FORMAT_FILESYSTEMS|intent_com.huawei.android.push.intent.REGISTRATION|intent_com.huawei.android.push.intent.RECEIVE|perm_com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY|intent_com.huawei.intent.action.PUSH_STATE,0.010416492931167198,0.00722016270665371,-0.00010740590121037681
730,6.249919899821855,4.332114357324889,0.008561534109345006,0.005934403229212177,0.000886309606356106,0.0006143430047749966,intent_android.intent.apicloud.notification|perm_com.qihoo.appstore.rtservice.ACCESS_RTSERVICE|intent_com.qihoo.sdkplugging.host.proxy.activity.VIEW|perm_android.permission.ACCESS_ALL_DOWNLOADS|perm_com.oppo.launcher.permission.WRITE_SETTINGS|intent_android.intent.action.SEND|intent_android.intent.action.ACTION_VIEW_DOWNLOADS|intent_com.baidu.action.Xshield.VIEW|intent_com.excelliance.dualaid.SHORTCUT_ALARM|intent_com.excelliance.dualaid.action.downloadcomp,0.009342738903368897,0.006475893130279964,-0.00010593416970844545
740,6.258782995885415,4.338257787372639,0.008457814859304615,0.005862510523476539,0.000886309606356106,0.0006143430047749966,intent_com.xiaomi.hy.push.client.ONCLICK|intent_com.excelliance.dualaid.platform.gameplugin.action.START_FROM_SHORTCUT|intent_com.excelliance.dualaid.action.psjardl|intent_com.excelliance.dualaid.action.download|intent_com.excelliance.dualaid.action.notifystatus|perm_com.android.agedlauncher.permission.READ_SETTINGS|intent_com.excelliance.dualaid.action.appcrash|intent_com.example.servicejar.action.SHORTCUT_CLICKED|intent_com.example.servicejar.action.START_ASSIST|intent_com.example.servicejar.action.START_SPIRIT,0.008863096063560505,0.006143430047750087,-0.00010371925004039155
750,6.267352803538059,4.344197925385107,0.008356470404717412,0.005792263900513475,0.0008419721551800041,0.0005836106254980431,perm_com.android.agedlauncher.permission.WRITE_SETTINGS|perm_com.xiaomi.permission.AUTH_SERVICE|intent_androidx.work.impl.background.systemalarm.UpdateProxies|intent_com.getui.gis.action.64kVIzqls49c7TJxrBbWG4|intent_cn.xiaoneng.xpush.service|perm_android.permission.GET_DETAILED_TASKS|perm_com.android.launcher.permission.CREATE_SHORTCUT|intent_com.excelliance.dualaid.action.phone_res_download|intent_com.igexin.sdk.action.user.message|intent_com.excelliance.dualaid.action.psts,0.008569807652643924,0.005940138012467955,-0.00010134445458720269
760,6.275371017129603,4.3497557275293515,0.008257067127802109,0.005723362799380726,0.0007976370187649517,0.0005528798506907301,intent_com.getui.gtc.sdk.service.action|perm_android.permission.FORCE_STOP_PACKAGES|intent_cn.jpush.android.intent.NOTIFICATION_CLICK_ACTION|intent_android.intent.action.VIEW|intent_android.intent.action.mainintentex|intent_action.com.excelliance.install.plugin|perm_android.Manifest.permission.READ_PHONE_NUMBERS|intent_show_moresetting|intent_android.intent.action.SENT_SMS_ACTION|perm_android.Manifest.permission.READ_SMS,0.00801821359154431,0.005557802144244839,-9.940327691530283e-05
770,6.283061925282961,4.355086658831952,0.008159820682185664,0.005655956699781755,0.000753304196770721,0.0005221506801172883,intent_com.google.Ps.Download|intent_com.Remind.alarm.enable|intent_android.intent.action.PACKAGE_RESTARTED|intent_com.google.android.gms.gcm.ACTION_TASK_READY|intent_android.net.ConnectivityManager.CONNECTIVITY_ACTION|intent_com.excelliance.dualaid.action.pg|intent_com.areametrics.areametricssdk.AMLocationUpdatesBroadcastReceiver.PROCESS_UPDATES|perm_com.android.permission.WRITE_APN_SETTINGS|intent_show_taskmanagerwhitelist|perm_yulong.permission.ACCESS_YLPARAMS,0.007690908153358045,0.005330931302600206,-9.724644561644527e-05
780,6.290439327002429,4.360200284033699,0.008064665803849267,0.005590000364145768,0.0007189753054945847,0.0004983557058952049,intent_safiap.framework.ACTION_TO_UPDATE|intent_android.intent.action.apservice|perm_android.permission.SET_WALLPAPER_HINTS|intent_com.meizu.c2dm.intent.RECEIVE|intent_com.meizu.c2dm.intent.REGISTRATION|intent_com.sogou.passport.service.aidl|intent_com.baidu.action.Techain.VIEW|perm_android.permission.ACCESS_GPS|intent_android.intent.action|intent_android.intent.action.UMS_CONNECTED,0.007377401719467436,0.005113625201746963,-9.515487833639674e-05
790,6.297547957955765,4.365127611536768,0.007971579693614892,0.005525477989287048,0.0007089736888570286,0.0004914231135433628,intent_android.intent.action.UMS_DISCONNECTED|intent_com.meizu.flyme.push.intent.MESSAGE|intent_com.meizu.flyme.push.intent.REGISTER.FEEDBACK|intent_com.meizu.flyme.push.intent.UNREGISTER.FEEDBACK|intent_android.intent.action.ACTION_PACKAGE_ADDED|intent_com.mobiletool.appstore.action.extend|intent_com.mobiletool.appstore.service.weatherservice|intent_com.mobiletool.appstore.service.weathernotifyreceiver|intent_com.Remind.launch.app|intent_com.mobiletool.appstore.action.wap,0.007108630953336359,0.004927327503069456,-9.308611023437462e-05
