feature,method_count,aggregated_score,score_std,rank_mean,rank_std,top_methods,entropy_reduction_ratio,mutual_information,chi2_stat,f_stat,pearson_r
suspicious_getSubscriberId,5,0.9532894753503083,0.05090567336563118,1.6,0.4898979485566356,"chi2_stat, pearson_r, entropy_reduction_ratio",0.9622524938957453,0.8616523718750434,1.0,0.942542510980753,1.0
suspicious_getCellLocation,5,0.6495816480552518,0.1780400258523153,4.2,1.6,"pearson_r, chi2_stat, entropy_reduction_ratio",0.610284742532047,0.5727517985176606,0.7685256582105476,0.38655064431586467,0.9097953967001385
perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.6257573491322189,0.1976942011608543,4.6,0.7999999999999999,"pearson_r, chi2_stat, entropy_reduction_ratio",0.5705443466560279,0.5467443279742561,0.791564940926603,0.3287792631625853,0.8911538669416221
perm_android.permission.READ_SMS,5,0.5888423901283856,0.21035977709059042,5.6,0.7999999999999999,"pearson_r, chi2_stat, entropy_reduction_ratio",0.5373641689127043,0.4762425675712281,0.7692552698212692,0.28635776981923583,0.8749921745174902
perm_android.permission.READ_LOGS,5,0.5224879502926636,0.2146363577009428,7.4,1.3564659966250536,"pearson_r, chi2_stat, entropy_reduction_ratio",0.4497654322028823,0.4196754873333062,0.668798532543762,0.22673661781548335,0.8474636815678843
perm_com.android.browser.permission.READ_HISTORY_BOOKMARKS,5,0.48235524842559646,0.21620520379732414,9.6,0.8,"pearson_r, chi2_stat, mutual_information",0.3995898520880221,0.4125094395507821,0.6069269553323305,0.17537368449493673,0.8173763106619109
suspicious_getWifiState,5,0.469567379628558,0.21799761884971983,11.9,0.5830951894845301,"pearson_r, chi2_stat, entropy_reduction_ratio",0.3886838373435514,0.38365819285464803,0.5934236552506184,0.16898737485969928,0.813083837834273
perm_android.permission.GET_TASKS,5,0.4693927128602658,0.21772655881738193,10.8,2.5612496949731396,"pearson_r, chi2_stat, entropy_reduction_ratio",0.39276117777810765,0.3472425845275999,0.5766114232739816,0.19851705063848069,0.8318313280831593
intent_android.intent.action.USER_PRESENT,5,0.4667830131666911,0.2222720648884259,10.6,2.33238075793812,"pearson_r, chi2_stat, entropy_reduction_ratio",0.3939102676981037,0.3432310643664153,0.6033835612147408,0.1757592211094638,0.8176309514447317
perm_com.google.android.c2dm.permission.RECEIVE,4,0.7925050490536135,0.39651824268273006,201.0,399.5001877346242,"entropy_reduction_ratio, mutual_information, f_stat",1.0,1.0,0.9625252452680677,1.0,0.0
intent_com.google.android.c2dm.intent.RECEIVE,4,0.7318478829554614,0.3636714325060402,202.2,398.4,"entropy_reduction_ratio, chi2_stat, f_stat",0.9614402923453367,0.8453454855988323,0.9434298037989831,0.9000973673911363,0.008926465643018395
perm_android.permission.READ_PHONE_STATE,4,0.4523980746224224,0.22630665378686743,16.0,18.01110768387108,"pearson_r, entropy_reduction_ratio, mutual_information",0.49882487425002936,0.4683575089473385,0.23752157642374908,0.2157016733479973,0.8415847401429976
perm_android.permission.WRITE_SMS,4,0.45072672118767426,0.22842945247050472,14.9,6.61362230551458,"pearson_r, chi2_stat, entropy_reduction_ratio",0.3886838373435514,0.2894549006502293,0.5934236552506184,0.16898737485969928,0.8130838378342731
perm_android.permission.READ_CALL_LOG,4,0.4264923094651614,0.22973943450600084,18.0,6.603029607687671,"pearson_r, chi2_stat, entropy_reduction_ratio",0.356285507384746,0.2634861918316712,0.556207995788516,0.15403493342333818,0.8024469188975356
intent_android.net.conn.CONNECTIVITY_CHANGE,4,0.42235994935169857,0.22512991745337713,17.4,6.019966777316965,"pearson_r, chi2_stat, entropy_reduction_ratio",0.33676334339722713,0.28501877998889497,0.5255157498378945,0.15866706588614019,0.805834807648336
perm_android.permission.RECEIVE_SMS,4,0.4180199434205294,0.22485401662407473,20.2,4.874423042781577,"pearson_r, chi2_stat, entropy_reduction_ratio",0.3290318444155789,0.2902321886710134,0.5243962514508654,0.14830580216590966,0.7981336303992794
perm_android.permission.WRITE_SETTINGS,4,0.41788747222748013,0.22151463546223632,18.8,4.445222154178574,"pearson_r, chi2_stat, entropy_reduction_ratio",0.32514649603711804,0.3064427793176841,0.5003080083977045,0.15464325655617564,0.8028968208287182
perm_android.permission.PROCESS_OUTGOING_CALLS,4,0.40079852346507555,0.23375890037285432,23.8,9.907572861200668,"pearson_r, chi2_stat, entropy_reduction_ratio",0.3301903797536384,0.22003386304595163,0.5225263506803548,0.1397888686613593,0.7914531551840737
perm_com.sonyericsson.home.permission.BROADCAST_BADGE,4,0.31455968298001896,0.12527563563597474,213.8,390.14171784109425,"chi2_stat, mutual_information, entropy_reduction_ratio",0.3341584075669998,0.4258198401392985,0.46196553905503596,0.1241297835203232,0.2267248446184374
suspicious_Ldalvik/system/PathClassLoader;,4,0.30427371141329435,0.11867557299200937,213.2,392.40407745078284,"chi2_stat, entropy_reduction_ratio, mutual_information",0.3550473106657727,0.31677193223131755,0.4920700644808205,0.1575239441652983,0.19995530552326252
intent_com.android.vending.INSTALL_REFERRER,4,0.3027640787898468,0.11661055822555401,213.6,391.7032550285994,"chi2_stat, mutual_information, entropy_reduction_ratio",0.33892331680111537,0.3417897649635792,0.4792331882420981,0.14263404563395027,0.21124007830849095
perm_com.htc.launcher.permission.UPDATE_SHORTCUT,4,0.2910161058971547,0.11257113661486418,216.2,388.9032784639389,"chi2_stat, entropy_reduction_ratio, mutual_information",0.3341584075669998,0.30810195472497737,0.46196553905503596,0.1241297835203232,0.2267248446184374
perm_com.sec.android.provider.badge.permission.WRITE,4,0.2885393067747832,0.11230388463258646,217.0,388.5027670429131,"chi2_stat, entropy_reduction_ratio, mutual_information",0.3341584075669998,0.2957179591131197,0.46196553905503596,0.1241297835203232,0.2267248446184374
perm_com.sec.android.provider.badge.permission.READ,3,0.30692726098692374,0.11928382708902666,214.4,389.82693596004884,"chi2_stat, mutual_information, entropy_reduction_ratio",0.3341584075669998,0.38765773017382243,0.46196553905503596,0.1241297835203232,0.2267248446184374
