perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_permissions,n_api_calls,perm_android_permission_WRITE_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_LOGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_setWifiEnabled,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getSubscriberId,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_READ_PHONE_STATE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_NETWORK_STATE,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,suspicious_getWifiState,n_urls,n_activities,perm_android_permission_DISABLE_KEYGUARD,intent_com_igexin_sdk_action_refreshls,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_RESTART_PACKAGES,perm_android_permission_SEND_SMS,label
0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
0,16,25,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,90,20,0,0,0,0,0,0
0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0
0,13,20,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,18,12,0,0,0,0,0,0
0,29,20,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,7,2,0,0,0,0,0,0
0,10,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,12,31,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,72,3,0,0,0,0,0,0
0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,6,45,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0
0,5,19,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,22,18,0,0,0,0,0,0
0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0
0,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,42,0,0,0,0,0,0
0,13,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,8,47,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,105,42,0,0,0,0,0,0
0,20,15,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,110,17,0,0,0,0,0,0
1,9,13,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0
0,8,47,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,105,42,0,0,0,0,0,0
0,11,33,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0
0,15,30,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,38,10,0,0,0,0,0,0
0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4,0,0,0,0,0,0
0,25,19,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,8,2,0,0,0,0,0,1
0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,0,0,0,0,0,0
0,40,33,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,148,66,0,0,0,0,0,0
0,31,25,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,40,9,0,0,0,0,0,0
0,5,17,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,24,2,0,0,0,0,0,0
0,12,48,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,51,34,0,0,0,0,0,0
0,11,14,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,85,19,0,0,0,0,0,0
0,5,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,12,0,0,0,0,0,0
0,4,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,15,0,0,0,0,0,0
1,55,35,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,79,61,1,0,1,0,0,0
0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
0,4,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30,3,0,0,0,0,0,0
0,6,22,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0
0,14,17,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,123,32,0,0,0,0,0,0
0,7,22,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,27,8,0,0,0,0,0,0
0,5,18,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,46,33,0,0,0,0,0,0
0,12,27,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,145,6,0,0,0,0,0,1
0,10,32,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0
0,10,19,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,25,8,0,0,0,0,0,0
0,9,30,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,38,13,1,0,0,1,0,0
0,5,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0
0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,14,0,0,0,0,0,0
0,12,22,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,83,30,0,0,0,0,0,0
0,5,18,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,26,32,0,0,0,0,0,1
0,15,21,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,46,14,0,0,0,0,0,0
0,7,25,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,71,88,0,0,0,0,0,0
0,9,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,44,15,0,0,0,0,0,0
0,6,18,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,24,6,0,0,0,0,0,0
0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,74,0,0,0,0,0,0
0,12,23,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,64,48,0,0,0,0,0,0
0,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,10,0,0,0,0,0,0
0,11,18,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,109,28,0,0,0,0,0,0
0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0
0,6,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0
0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,0,0,0,0,0,0
0,5,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0
0,19,21,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,120,37,0,0,0,0,0,0
0,15,22,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,65,22,0,0,0,0,0,0
0,17,26,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,67,27,0,0,0,0,0,0
