cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_selected_features,n_selected_features_raw,n_selected_features_analysis,threshold_pass_count,used_fallback,selection_mode,mean_reduction_ratio,mean_conditional_entropy
139,58485,50,49,1,0.14144054254182067,0,30,0,0,True,fallback_top_k,0.0010474468430410595,0.14129239109205718
140,12032,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
141,58480,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
142,41754,50,46,4,0.4021791902022728,0,30,0,0,True,fallback_top_k,0.012216466539537426,0.3972659815822685
143,51117,50,44,6,0.5293608652873644,1,1,1,1,False,threshold_top_k,0.013045574542903532,0.522455048659162
144,37436,50,49,1,0.14144054254182067,1,1,1,1,False,threshold_top_k,0.003620896663945609,0.14092840095318432
145,17942,50,49,1,0.14144054254182067,8,8,8,8,False,threshold_top_k,0.014339162476985958,0.13941240362148044
146,50741,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
147,61565,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
148,72142,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
149,30111,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
150,6429,50,48,2,0.24229218908241482,2,2,2,2,False,threshold_top_k,0.006102592764909614,0.24081357852232646
151,8580,50,0,50,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
152,72431,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
153,2791,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
154,56943,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
155,8850,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
156,60289,50,2,48,0.24229218908241482,0,30,0,0,True,fallback_top_k,0.0,0.2422921890824149
157,52212,50,47,3,0.32744491915447627,2,2,2,2,False,threshold_top_k,0.006727282648606766,0.3252421046314739
158,63036,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
159,37568,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
160,57845,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
161,37164,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
162,59573,50,45,5,0.4689955935892812,0,30,0,0,True,fallback_top_k,0.010064773823814531,0.46427525901543953
163,35324,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
164,18391,50,31,19,0.9580420222262995,9,9,9,9,False,threshold_top_k,0.0297469751438664,0.9295431700043544
165,67527,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
