cluster_id,cluster_json,candidate_count,top_feature,top_method_count,top_aggregated_score,output_dir
31,cluster_31.json,50,n_permissions,5,0.8301989480941738,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_31
32,cluster_32.json,50,perm_android.permission.ACCESS_COARSE_LOCATION,4,0.6662942708796,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_32
33,cluster_33.json,50,n_permissions,5,0.8119575499575482,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_33
34,cluster_34.json,50,suspicious_getSubscriberId,5,0.9006017990788099,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_34
35,cluster_35.json,50,n_permissions,5,0.6939179420730466,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_35
36,cluster_36.json,50,perm_android.permission.SYSTEM_ALERT_WINDOW,5,0.8066425402219985,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_36
37,cluster_37.json,50,perm_com.android.launcher.permission.WRITE_SETTINGS,5,0.5353604676834939,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_37
38,cluster_38.json,50,suspicious_getSubscriberId,5,0.9513129455608638,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_38
39,cluster_39.json,50,n_api_calls,5,0.8089424087309842,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_39
40,cluster_40.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.9259454688980344,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_40
41,cluster_41.json,50,suspicious_getSubscriberId,5,0.95244193768329,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_41
42,cluster_42.json,50,n_permissions,5,0.7058249403580843,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_42
43,cluster_43.json,50,n_permissions,5,0.5118608784116528,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_43
44,cluster_44.json,50,perm_android.permission.DEVICE_POWER,5,0.5038351370636673,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_44
45,cluster_45.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.7714001563850615,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_45
46,cluster_46.json,50,suspicious_getSubscriberId,5,1.0,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_46
47,cluster_47.json,50,suspicious_getSubscriberId,5,0.968875263580468,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_47
48,cluster_48.json,50,perm_android.permission.GET_TASKS,5,0.9943874891384802,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_48
49,cluster_49.json,50,n_api_calls,5,0.9111038069611382,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_49
50,cluster_50.json,50,suspicious_getSubscriberId,5,1.0,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_50
51,cluster_51.json,50,perm_android.permission.GET_TASKS,5,0.7748019982478219,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_51
52,cluster_52.json,50,perm_com.android.launcher.permission.WRITE_SETTINGS,5,0.5036066427029006,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_52
53,cluster_53.json,50,n_api_calls,5,0.9032484679926378,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_53
54,cluster_54.json,50,n_permissions,5,0.6076005027492318,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_54
55,cluster_55.json,50,n_api_calls,5,0.8762205065234726,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_55
56,cluster_56.json,50,perm_com.htc.launcher.permission.UPDATE_SHORTCUT,4,0.7664861737006948,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_56
57,cluster_57.json,50,suspicious_getCellLocation,4,0.7498578877111182,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_57
