feature,method_count,aggregated_score,score_std,rank_mean,rank_std,top_methods,entropy_reduction_ratio,mutual_information,chi2_stat,f_stat,pearson_r
suspicious_getSubscriberId,5,0.9035464201497175,0.19290715970056485,2.4,2.8,"entropy_reduction_ratio, mutual_information, f_stat",1.0,1.0,0.5177321007485879,1.0,1.0
perm_android.permission.GET_TASKS,5,0.869866057814298,0.1567507253026462,3.2,1.16619037896906,"pearson_r, mutual_information, f_stat",0.8641398736535033,0.9733180649977331,0.5686378571849433,0.9532623461955396,0.9899721470397715
perm_android.permission.CHANGE_NETWORK_STATE,5,0.8434824586197625,0.14729909054873971,4.2,1.469693845669907,"mutual_information, pearson_r, f_stat",0.7633450643473787,0.988557019591187,0.596565861321109,0.8926964777650755,0.9762478700740617
intent_android.net.conn.CONNECTIVITY_CHANGE,5,0.814008710676557,0.12723371154863555,4.6,2.5768197453450252,"pearson_r, f_stat, mutual_information",0.768015236761173,0.8062445052645326,0.6079849158733386,0.9080010280840186,0.9797978673997217
perm_android.permission.SYSTEM_ALERT_WINDOW,5,0.8128112649941792,0.16948983472076887,5.2,2.227105745132009,"mutual_information, pearson_r, f_stat",0.775314388585217,0.9919235404189481,0.5151139896379279,0.8225061952173837,0.9591982111114199
perm_android.permission.CHANGE_WIFI_STATE,5,0.7842794666538628,0.17188269152444283,7.8,1.6,"mutual_information, pearson_r, f_stat",0.7356074679969793,0.9730397440611968,0.4954432362197951,0.7713907704305591,0.9459161145607842
intent_android.intent.action.USER_PRESENT,5,0.7761351750386296,0.13010347030308128,6.6,1.9595917942265424,"pearson_r, mutual_information, f_stat",0.6925302464586051,0.8446960839627868,0.5775153885095046,0.8099319770784743,0.9560021791837772
n_permissions,5,0.7605948101248746,0.2532697600283479,9.8,8.518215775618742,"chi2_stat, entropy_reduction_ratio, mutual_information",0.9088793468355948,0.8598450248758477,1.0,0.27940772859277463,0.754841950320156
perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.7474983436771617,0.13637215323720153,8.2,1.5999999999999999,"pearson_r, f_stat, entropy_reduction_ratio",0.7311391885849351,0.7071302231064702,0.5368606099247526,0.8070885587426742,0.9552731380269761
perm_android.permission.RECEIVE_SMS,5,0.7015665788975651,0.1305910283783593,9.2,1.9390719429665315,"pearson_r, mutual_information, f_stat",0.6085955441291757,0.7307856977543338,0.5422357362224786,0.7001844503747084,0.926031466007129
perm_android.permission.READ_PHONE_STATE,5,0.6685240063544542,0.24529674662354392,11.0,5.621387729022079,"pearson_r, mutual_information, entropy_reduction_ratio",0.8338149752546828,0.8409792595405661,0.23698890298472147,0.5523696380423707,0.8784672559499297
perm_android.permission.SEND_SMS,5,0.5940571466569297,0.1577843177852228,13.2,4.534313619501853,"pearson_r, f_stat, entropy_reduction_ratio",0.5607866123576883,0.48493233250612966,0.4426713642317934,0.5902941863655836,0.8916012378234529
suspicious_getCellLocation,5,0.579740955342922,0.19306416949039462,13.0,2.5298221281347035,"pearson_r, mutual_information, entropy_reduction_ratio",0.618067658295569,0.6582324887449894,0.2720652054698042,0.49370160410949077,0.8566378200947565
intent_android.intent.action.PACKAGE_ADDED,5,0.5462030653871156,0.15955882371820282,15.0,2.898275349237888,"pearson_r, mutual_information, f_stat",0.45903413484441263,0.5370562154492318,0.3986572675936668,0.48359523161515944,0.8526724774331071
perm_android.permission.WRITE_SETTINGS,5,0.5198007971915658,0.17416831445901368,15.6,1.8547236990991407,"pearson_r, mutual_information, entropy_reduction_ratio",0.43720571604268127,0.5875231870169918,0.3287698197831025,0.41956091843227844,0.8259443446827748
intent_android.intent.action.PACKAGE_REMOVED,5,0.46919622249804105,0.1738987919008862,18.6,3.826225293941798,"pearson_r, mutual_information, f_stat",0.37622762707905333,0.4497442680518791,0.3301377715028831,0.3813656944516299,0.8085057514047599
perm_android.permission.KILL_BACKGROUND_PROCESSES,4,0.4567969071021115,0.17534684373052392,19.8,5.2687759489277965,"pearson_r, mutual_information, f_stat",0.36456170579241226,0.39838040489075816,0.34046476014559685,0.37506871093422006,0.8055089537475703
perm_com.android.launcher.permission.INSTALL_SHORTCUT,4,0.44336410171939883,0.20080163274541554,29.0,26.600751869073175,"pearson_r, f_stat, entropy_reduction_ratio",0.4033721146050269,0.22787487742358767,0.35034038355126007,0.4124455906943177,0.8227875423228015
perm_android.permission.READ_SMS,4,0.4265461176879796,0.18403703584536785,23.0,8.270429251254134,"pearson_r, f_stat, entropy_reduction_ratio",0.34361651098279794,0.32829858107642984,0.31581623844227175,0.3511940781725359,0.7938051797658623
suspicious_getWifiState,4,0.4207990350442631,0.2209537464733735,22.0,4.774934554525329,"pearson_r, mutual_information, entropy_reduction_ratio",0.2573355064386822,0.6449336686392891,0.22487516957974005,0.2438714175885422,0.7329794129750621
intent_android.intent.action.CHINAMOBILE_OMS_GAME,4,0.36209971456025775,0.1920206710469057,29.6,15.793669617919706,"pearson_r, entropy_reduction_ratio, f_stat",0.2845809423864477,0.26064579106065644,0.2555879697092435,0.2640492883071107,0.7456345813378304
perm_com.android.launcher.permission.UNINSTALL_SHORTCUT,3,0.3915989492582176,0.18833078144205806,23.0,2.9664793948382653,"pearson_r, mutual_information, entropy_reduction_ratio",0.273101541114824,0.41922529397822517,0.24948526215863803,0.26809099276531584,0.7480916562740846
intent_android.provider.Telephony.SMS_RECEIVED,3,0.34441647077683085,0.19233080228785748,30.0,10.373041983911952,"pearson_r, mutual_information, entropy_reduction_ratio",0.24055534251859084,0.2929337652902791,0.228624659920779,0.23365821623165775,0.7263103699228476
intent_com.google.android.c2dm.intent.RECEIVE,3,0.32588492753797077,0.22759423166152473,214.8,392.6287814208225,"mutual_information, entropy_reduction_ratio, f_stat",0.5161426966907489,0.6340330433727841,0.18148812180342302,0.29776077582289767,0.0
perm_com.google.android.c2dm.permission.RECEIVE,3,0.2957066582956681,0.1935901748912977,217.2,390.9319122302501,"mutual_information, entropy_reduction_ratio, f_stat",0.4887821807905359,0.5221895481324399,0.17424358391688996,0.28742373740016647,0.005894241238308573
perm_com.android.launcher.permission.WRITE_SETTINGS,2,0.26412745826320927,0.2224986018503854,98.6,142.25413877986114,"pearson_r, entropy_reduction_ratio, chi2_stat",0.19758852069904834,0.0489498827210482,0.18966372006014245,0.1894110512887731,0.6950241165470342
intent_safiap.framework.ACTION_CANCEL_NOTIFICATION,1,0.34293075888781566,0.22500289502390175,35.2,11.881077392223316,"pearson_r, mutual_information, entropy_reduction_ratio",0.1727809402239437,0.5652651654588093,0.15728490443645757,0.15336310246578697,0.6659596818540806
perm_android.permission.WRITE_SMS,1,0.3063685281761705,0.19622627083509359,34.6,11.84229707446997,"pearson_r, mutual_information, entropy_reduction_ratio",0.19402748349367263,0.27098666401241633,0.18564984686615374,0.18755976320534778,0.6936188833032622
perm_android.permission.WRITE_EXTERNAL_STORAGE,1,0.30096274880385226,0.23854033107736233,70.6,63.304344242713704,"pearson_r, mutual_information, entropy_reduction_ratio",0.22056728081017424,0.5449954518250024,0.019482589780969162,0.10267077895621739,0.6170976426468981
suspicious_Ljava/lang/System;->loadLibrary,1,0.29442437275541145,0.2083878361160351,42.8,19.39484467584105,"pearson_r, entropy_reduction_ratio, mutual_information",0.2820850070020033,0.24871754327321183,0.07618244728414662,0.17851236041835544,0.6866245057993401
suspicious_Ljava/lang/Runtime;->exec,1,0.28765483213360227,0.23665856274950314,58.8,26.452977148139677,"pearson_r, mutual_information, entropy_reduction_ratio",0.14626048629904828,0.537142043524287,0.04841654461078591,0.09635634206127879,0.6100987441726115
n_services,1,0.2563311200820684,0.1867682777850464,84.2,86.61039198618143,"pearson_r, entropy_reduction_ratio, chi2_stat",0.25331771590958585,0.10092439139979083,0.22699726374264872,0.09353189777094753,0.606884331587369
n_api_calls,1,0.21716920555984212,0.18797470176011158,305.6,335.8449642320099,"entropy_reduction_ratio, pearson_r, mutual_information",0.47809526683087744,0.2611528110669431,0.0032343178671886534,0.0032342958241640654,0.3401293362100375
