cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_features_scored,max_reduction_ratio,mean_reduction_ratio,mean_conditional_entropy
0,47608,150,149,1,0.05777796017013378,1000,1.0,0.011062435807446343,0.05713879519466649
1,34247,150,92,58,0.9626147059982517,1000,0.4475043148141643,0.006126985748118562,0.9567167794136714
2,33066,150,145,5,0.21084230031853213,1000,0.6542650657315169,0.003420763957145605,0.21012105857696087
3,49493,150,11,139,0.37824164440536223,1000,0.0,0.0,0.37824164440536207
4,17873,150,149,1,0.05777796017013378,1000,0.6821293685860619,0.007940092152908307,0.057319197841975866
5,68692,150,145,5,0.21084230031853213,1000,0.7822825635574276,0.01226778336627779,0.20825573265377675
6,64117,150,147,3,0.14144054254182067,1000,0.6104529221034467,0.024097424852784162,0.1380321896967821
7,52724,150,150,0,-0.0,1000,0.0,0.0,0.0
8,36908,150,147,3,0.14144054254182067,1000,0.7171956549291874,0.008074350017907938,0.14029850209461517
9,64019,150,150,0,-0.0,1000,0.0,0.0,0.0
10,33475,150,2,148,0.10215803640865039,1000,1.0,0.012705872766789012,0.10086002939593704
11,34600,150,148,2,0.10215803640865039,1000,0.4350575676593265,0.003563917002555765,0.10179395364574582
12,60182,150,147,3,0.14144054254182067,1000,0.674935402617412,0.010151861173878484,0.14000465778957805
13,49445,150,150,0,-0.0,1000,0.0,0.0,0.0
14,51180,150,127,23,0.6181194891000384,1000,0.6336236027089578,0.020440889643368956,0.605484576836929
15,15155,150,147,3,0.14144054254182067,1000,0.8161708347643936,0.00485683217735804,0.14075358956362055
16,22736,150,146,4,0.17738945318599736,1000,0.6753865975182313,0.013306659377715689,0.17502899215525208
17,55655,150,147,3,0.14144054254182067,1000,0.46303295166079783,0.003281296890644075,0.14097643412936714
18,39316,150,138,12,0.4021791902022728,1000,0.9156898806786054,0.020219687406865396,0.39404725269483665
19,16960,150,123,27,0.6800770457282799,1000,0.9215775129180844,0.014265224018748456,0.6703755943209575
20,2786,150,150,0,-0.0,1000,0.0,0.0,0.0
21,38329,150,144,6,0.24229218908241482,1000,0.47596930367820195,0.006690904466485513,0.2406710351922888
22,20674,150,143,7,0.2720647864044614,1000,0.8230989747140307,0.023350893986608234,0.26571183041964164
23,40644,150,149,1,0.05777796017013378,1000,0.6255651245698847,0.004621114502650611,0.057510961600458016
24,30562,150,148,2,0.10215803640865039,1000,0.4621564722556763,0.00681384703106842,0.10146194717556747
25,50300,150,144,6,0.24229218908241482,1000,0.6991419776357366,0.009187760456786542,0.24006606648857526
26,56635,150,150,0,-0.0,1000,0.0,0.0,0.0
27,39031,150,58,92,0.9626147059982517,1000,0.5610297555620354,0.001324860476706612,0.9613393758199784
28,51026,150,143,7,0.2720647864044614,1000,0.4368545226778918,0.002942364221208247,0.2712642727110942
29,2805,150,127,23,0.6181194891000384,1000,0.4932516894574541,0.005595511754301455,0.6146607942332164
30,49709,150,149,1,0.05777796017013378,1000,1.0,0.009785516281012761,0.05721257300020524
31,6325,150,150,0,-0.0,1000,0.0,0.0,0.0
32,6739,150,149,1,0.05777796017013378,1000,0.7692314977186488,0.007286915898279828,0.05735693703359986
33,20675,150,146,4,0.17738945318599736,1000,1.0,0.01667440460474815,0.17443158967095904
34,72858,150,148,2,0.10215803640865039,1000,0.4350575676593265,0.0028997823364735175,0.10186180033914372
35,32496,150,8,142,0.30039141736478187,1000,0.647124082985329,0.01060958228217955,0.29720438990538967
36,7218,150,148,2,0.10215803640865039,1000,0.44642458275465324,0.0070680739166202695,0.10143597585613721
37,37810,150,3,147,0.14144054254182067,1000,0.3516877445981987,0.004978661295713315,0.140736357987023
38,42977,150,149,1,0.05777796017013378,1000,0.4982497901977302,0.003290468403648747,0.05758784361776669
39,57638,150,86,64,0.9844268978000114,1000,0.626464713676216,0.008320966519979755,0.9762355145420499
40,61474,150,144,6,0.24229218908241482,1000,0.4856419318411148,0.011177983245538843,0.23958385105232674
41,37195,150,150,0,-0.0,1000,0.0,0.0,0.0
42,22570,150,143,7,0.2720647864044614,1000,0.7525132254076412,0.01947227887053019,0.2667670650127425
43,9553,150,148,2,0.10215803640865039,1000,0.49096717634771414,0.008640263487922607,0.10127536405667081
44,48944,150,132,18,0.5293608652873644,1000,0.5494895252591753,0.007581906581276075,0.5253473006589721
45,32669,150,101,49,0.9114844096987045,1000,0.6010581231323944,0.017147312268808643,0.8958549018974503
46,24854,150,148,2,0.10215803640865039,1000,1.0,0.010090730371831232,0.10112718720793493
47,12070,150,150,0,-0.0,1000,0.0,0.0,0.0
48,56842,150,137,13,0.42524461248637185,1000,0.44341525157415146,0.007800602513732198,0.4219274482932597
49,36778,150,112,38,0.8165187119538281,1000,0.44753323256154304,0.009390582405408082,0.8088511257036678
50,41009,150,150,0,-0.0,1000,0.0,0.0,0.0
51,34132,150,149,1,0.05777796017013378,1000,1.0,0.006556982520582786,0.0573991110952233
52,63702,150,149,1,0.05777796017013378,1000,1.0,0.011600514399740162,0.05710770611119254
53,42853,150,149,1,0.05777796017013378,1000,0.6255651245698847,0.004621114502650611,0.057510961600458016
54,48092,150,150,0,-0.0,1000,0.0,0.0,0.0
55,57400,150,145,5,0.21084230031853213,1000,0.6961507736692637,0.021753774975728193,0.20625568436203792
56,10503,150,149,1,0.05777796017013378,1000,1.0,0.0059318387829906455,0.0574352306251945
57,58656,150,138,12,0.4021791902022728,1000,0.22356797148124846,0.001443977535238231,0.40159845248648046
58,1462,150,150,0,-0.0,1000,0.0,0.0,0.0
59,25995,150,150,0,-0.0,1000,0.0,0.0,0.0
60,6882,150,149,1,0.05777796017013378,1000,1.0,0.0034953788204730297,0.05757600431186497
61,550,150,147,3,0.14144054254182067,1000,0.752776565871101,0.013931574429993316,0.13947005309598062
62,56746,150,145,5,0.21084230031853213,1000,0.7935479106701527,0.005951036382941992,0.20958757011827345
