cluster_id,base_entropy,max_entropy_reduction_ratio,mean_entropy_reduction_ratio,top_1_feature,top_1_score,top_2_feature,top_2_score,top_3_feature,top_3_score,top_4_feature,top_4_score,top_5_feature,top_5_score
0,-0.0,0.0,0.0,suspicious_system/bin/su,0.0,intent_,0.0,intent_ACTION.TAPCORE.MESSAGE,0.0,intent_ACTION.TAPCORE.SYNC,0.0,intent_LOCATION_SERVICE,0.0
1,0.8554508105601306,0.4417102176417993,0.0063396757578325,perm_com.android.launcher.permission.INSTALL_SHORTCUT,0.4417102176417993,perm_android.permission.GET_TASKS,0.4375175078767419,perm_android.permission.SYSTEM_ALERT_WINDOW,0.4089976915857349,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,0.3482885226582214,perm_android.permission.READ_PHONE_STATE,0.3398977408508682
2,0.118350011408275,0.4727321802870664,0.0076629320070171,n_urls,0.4727321802870664,perm_android.permission.SET_WALLPAPER,0.4327971256513581,n_api_calls,0.4237888565294631,intent_android.intent.action.PACKAGE_ADDED,0.308851140891673,n_activities,0.2889272050239186
3,0.5946193440950123,0.4053585061108463,0.0181684676645094,n_activities,0.4053585061108463,perm_com.google.android.c2dm.permission.RECEIVE,0.3862645330458579,n_providers,0.3824897354249158,n_api_calls,0.3747159146322108,intent_com.google.android.c2dm.intent.RECEIVE,0.3723093128713664
4,0.3431229071320203,0.3715557626107164,0.0010261099240835,n_activities,0.3715557626107164,n_permissions,0.2407658721335934,n_urls,0.1673372034559836,n_api_calls,0.045986085804174,n_used_permissions,0.0420556428553363
5,0.4021791902022728,0.5021024669345053,0.0118765854644663,n_api_calls,0.5021024669345053,n_used_permissions,0.4410763498818951,n_urls,0.429131503393415,suspicious_getPackageInfo,0.3768782452920973,suspicious_Base64,0.2969902703097331
6,0.7056366064601749,0.5013250603973617,0.0102327110304062,n_api_calls,0.5013250603973617,perm_android.permission.SYSTEM_ALERT_WINDOW,0.4550034982283867,perm_android.permission.GET_TASKS,0.438082314584036,perm_com.sonyericsson.home.permission.BROADCAST_BADGE,0.303335154335324,perm_com.htc.launcher.permission.UPDATE_SHORTCUT,0.303335154335324
7,0.0376223603222784,1.0,0.0058349034340591,perm_android.permission.SEND_SMS,1.0,perm_android.permission.SYSTEM_ALERT_WINDOW,0.7873604970163787,suspicious_sendTextMessage,0.7873604970163787,perm_android.permission.READ_PHONE_STATE,0.5853386659974522,n_permissions,0.4720371437511262
8,0.0376223603222784,0.4474293980014159,0.0048416438392823,perm_android.permission.ACCESS_COARSE_LOCATION,0.4474293980014159,suspicious_adb_enabled,0.3833343861552317,suspicious_Ljava/lang/Runtime;->exec,0.3498517504039526,n_api_calls,0.3498517504039526,n_receivers,0.3498517504039526
9,0.6048125901165883,0.6377426118049868,0.0197035806454266,perm_com.htc.launcher.permission.UPDATE_SHORTCUT,0.6377426118049868,perm_com.sec.android.provider.badge.permission.READ,0.6377426118049868,perm_com.sec.android.provider.badge.permission.WRITE,0.6377426118049868,perm_com.sonyericsson.home.permission.BROADCAST_BADGE,0.6377426118049868,perm_com.anddoes.launcher.permission.UPDATE_COUNT,0.6281911409071705
10,0.0376223603222784,1.0,0.0043656342930547,intent_android.intent.action.BOOT_COMPLETED,1.0,perm_android.permission.RECEIVE_BOOT_COMPLETED,1.0,n_receivers,0.5376669078338758,n_services,0.501365050388334,n_urls,0.2751438762517685
