cluster_id,base_entropy,max_entropy_reduction_ratio,mean_entropy_reduction_ratio,top_1_feature,top_1_score,top_2_feature,top_2_score,top_3_feature,top_3_score,top_4_feature,top_4_score,top_5_feature,top_5_score
308,-0.0,0.0,0.0,suspicious_system/bin/su,0.0,intent_,0.0,intent_ACTION.TAPCORE.MESSAGE,0.0,intent_ACTION.TAPCORE.SYNC,0.0,intent_LOCATION_SERVICE,0.0
309,0.931055823385033,0.6809149861913445,0.007964854635424,suspicious_getSubscriberId,0.6809149861913445,suspicious_sendTextMessage,0.6121101160813092,n_urls,0.5473683308463372,suspicious_Cipher,0.4967402607347001,n_used_permissions,0.4449999489941564
310,0.0577779601701337,1.0,0.0331140212632466,intent_com.igexin.sdk.action.7fjUl2Z3LH6xYy7NQK4ni4,1.0,perm_com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,1.0,perm_com.android.launcher.permission.UNINSTALL_SHORTCUT,1.0,perm_com.android.launcher.permission.READ_SETTINGS,1.0,perm_android.permission.SYSTEM_ALERT_WINDOW,1.0
311,0.1021580364086503,0.8202205394040382,0.0109402110148353,intent_android.intent.action.PACKAGE_ADDED,0.8202205394040382,suspicious_Base64,0.7389665306408666,intent_android.net.conn.CONNECTIVITY_CHANGE,0.6831867471914812,suspicious_getSubscriberId,0.6404410788080764,n_api_calls,0.4961603950619582
312,0.1773894531859973,0.6663521835100706,0.0200083199524565,n_api_calls,0.6663521835100706,n_urls,0.6204259314289706,n_permissions,0.5821091096810301,n_services,0.5299894402942711,intent_com.google.firebase.MESSAGING_EVENT,0.5121675402826498
313,0.1021580364086503,0.4909671763477141,0.0030927258246802,n_urls,0.4909671763477141,perm_com.android.launcher.permission.INSTALL_SHORTCUT,0.4350575676593265,n_activities,0.3237638705802708,n_api_calls,0.1832036527244712,perm_android.permission.ACCESS_COARSE_LOCATION,0.1686593251288966
314,-0.0,0.0,0.0,suspicious_system/bin/su,0.0,intent_,0.0,intent_ACTION.TAPCORE.MESSAGE,0.0,intent_ACTION.TAPCORE.SYNC,0.0,intent_LOCATION_SERVICE,0.0
315,0.0577779601701337,0.7692314977186488,0.0061243913171608,intent_android.intent.action.VIEW,0.7692314977186488,perm_android.permission.SYSTEM_ALERT_WINDOW,0.6255651245698847,perm_android.permission.GET_TASKS,0.6255651245698847,perm_android.permission.READ_PHONE_STATE,0.427024631419866,n_api_calls,0.3669018099520923
316,0.7950402793845223,0.2733485453205008,0.0047309818130807,perm_android.permission.READ_PHONE_STATE,0.2733485453205008,perm_android.permission.GET_TASKS,0.2369358829818874,n_api_calls,0.2257948906984532,n_services,0.190577363431694,n_activities,0.1825677744327443
317,0.3003914173647818,0.4129815723130861,0.0066563329258959,perm_com.android.browser.permission.READ_HISTORY_BOOKMARKS,0.4129815723130861,n_receivers,0.3244848027132145,n_used_permissions,0.3120321650233328,perm_com.android.launcher.permission.UNINSTALL_SHORTCUT,0.2924930385963334,perm_com.android.launcher.permission.INSTALL_SHORTCUT,0.2924930385963334
318,0.9480782435939056,0.3059983397879499,0.0098810220664793,n_api_calls,0.3059983397879499,n_urls,0.2880435587649646,suspicious_getCellLocation,0.2334304274611947,perm_com.google.android.c2dm.permission.RECEIVE,0.2252610109126649,n_receivers,0.2227397513636198
319,0.8554508105601306,0.5876019269724775,0.0054404389058978,suspicious_getSubscriberId,0.5876019269724775,perm_android.permission.READ_PHONE_STATE,0.2819791576195956,perm_android.permission.GET_TASKS,0.2101926962451387,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,0.1719143732251859,n_providers,0.166937424431589
320,0.1021580364086503,0.5089684534179034,0.0041894273150774,suspicious_Cipher,0.5089684534179034,intent_android.intent.action.USER_PRESENT,0.4350575676593265,n_used_permissions,0.3518797113158401,n_permissions,0.2730974202776752,perm_android.permission.DISABLE_KEYGUARD,0.2565547135188895
321,0.4689955935892812,0.636789494634073,0.0150462089400829,n_permissions,0.636789494634073,n_urls,0.579930396102713,n_api_calls,0.5665883231819215,n_activities,0.5248580523694922,n_services,0.4481850206545829
322,0.0577779601701337,0.6255651245698847,0.0022949297526525,suspicious_Base64,0.6255651245698847,n_api_calls,0.330759345659642,suspicious_Ldalvik/system/DexClassLoader;,0.2701635720690623,perm_android.permission.WRITE_EXTERNAL_STORAGE,0.1710632677439376,n_permissions,0.1590603189003702
323,0.783776947484701,0.5723919589060092,0.0086811868360219,suspicious_Ldalvik/system/PathClassLoader;,0.5723919589060092,suspicious_getPackageInfo,0.401380830917638,n_urls,0.3023777828916038,n_used_permissions,0.2884721425056707,n_api_calls,0.2692943562097064
324,0.0577779601701337,0.6255651245698847,0.0054639475085025,suspicious_getSubscriberId,0.6255651245698847,n_urls,0.4982497901977302,perm_android.permission.GET_TASKS,0.4982497901977302,n_api_calls,0.4421786621402567,n_activities,0.4421786621402567
325,-0.0,0.0,0.0,suspicious_system/bin/su,0.0,intent_,0.0,intent_ACTION.TAPCORE.MESSAGE,0.0,intent_ACTION.TAPCORE.SYNC,0.0,intent_LOCATION_SERVICE,0.0
326,0.805952041954632,0.2574787834816976,0.0045607426876139,perm_android.permission.READ_PHONE_STATE,0.2574787834816976,n_permissions,0.2195297134492528,n_activities,0.1889931330539844,n_urls,0.1852763132416455,perm_android.permission.GET_TASKS,0.1745573173898809
327,0.2108423003185321,0.345592076666197,0.0058790490329001,n_api_calls,0.345592076666197,n_permissions,0.3021930974844371,perm_android.permission.SEND_SMS,0.2448499993542831,perm_com.android.launcher.permission.READ_SETTINGS,0.2448499993542831,n_urls,0.223764030246043
328,0.9953784388202256,0.7518238647019352,0.0121663624647007,suspicious_getSubscriberId,0.7518238647019352,suspicious_getCellLocation,0.5146233366335442,perm_com.google.android.c2dm.permission.RECEIVE,0.5136614959804794,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,0.5091599542603714,intent_com.google.android.c2dm.intent.RECEIVE,0.4868653039551269
329,0.6652735227649414,1.0,0.0405415313887381,perm_android.permission.WRITE_SETTINGS,1.0,suspicious_getSubscriberId,0.9381654845654068,perm_android.permission.SEND_SMS,0.8958372780492456,perm_android.permission.RECEIVE_SMS,0.8958372780492456,intent_android.net.wifi.WIFI_STATE_CHANGED,0.8958372780492456
330,0.2422921890824148,0.5936294556713287,0.0080527412829386,n_api_calls,0.5936294556713287,n_used_permissions,0.5567511198488345,perm_com.android.launcher.permission.INSTALL_SHORTCUT,0.5536292395207577,n_urls,0.4166723641587228,perm_android.permission.SYSTEM_ALERT_WINDOW,0.3710617507691202
331,0.1414405425418206,0.2808050314602741,0.0018628645549547,n_urls,0.2808050314602741,n_api_calls,0.2325611601758424,n_used_permissions,0.1798526962109517,suspicious_getExternalStorageDirectory,0.1733228777967968,n_permissions,0.1701347257019611
332,0.4474992550368635,0.6096131160398544,0.0121152958054919,intent_ACTION.TAPCORE.MESSAGE,0.6096131160398544,intent_ACTION.TAPCORE.SYNC,0.6096131160398544,perm_com.google.android.gms.permission.ACTIVITY_RECOGNITION,0.5382164325571361,intent_com.inmobi.share.id,0.5382164325571361,intent_com.yandex.metrica.IMetricaService,0.5382164325571361
