cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_selected_features,mean_reduction_ratio,mean_conditional_entropy
0,10425,100,99,1,0.08079313589591118,30,0.004764216887409712,0.08040821987348908
1,60428,100,67,33,0.9149263727797274,30,0.012601842256351756,0.9033966149537815
2,44684,100,96,4,0.24229218908241482,6,0.01405524049467505,0.2388867140948803
3,47369,100,100,0,-0.0,30,0.0,0.0
4,21917,100,90,10,0.4689955935892812,30,0.011808207893527076,0.46345759611903087
5,57377,100,90,10,0.4689955935892812,30,0.004894557276418118,0.4667000677940708
6,72083,100,100,0,-0.0,30,0.0,0.0
7,488,100,99,1,0.08079313589591118,13,0.01933479564715121,0.07923101712367121
8,19967,100,98,2,0.14144054254182067,4,0.015700807079765344,0.1392198118701142
9,63025,100,100,0,-0.0,30,0.0,0.0
10,40869,100,100,0,-0.0,30,0.0,0.0
11,41314,100,94,6,0.32744491915447627,1,0.00456381555102324,0.32595052094033555
12,70128,100,100,0,-0.0,30,0.0,0.0
13,8122,100,98,2,0.14144054254182067,30,0.00816107523480022,0.1402862356328859
14,37725,100,70,30,0.8812908992306927,1,0.01680563261564142,0.8664802481507136
15,41615,100,77,23,0.7780113035465377,30,0.006852169422527627,0.7726802382819954
16,37142,100,100,0,-0.0,30,0.0,0.0
17,62122,100,86,14,0.584238811642856,1,0.011819947115431556,0.5773331397864547
18,13604,100,97,3,0.1943918578315762,30,0.002288835843323152,0.19394692677972106
19,42181,100,97,3,0.1943918578315762,1,0.006278353303764734,0.19317139706873432
20,1655,100,100,0,-0.0,30,0.0,0.0
21,12414,100,99,1,0.08079313589591118,5,0.008635930968520594,0.08009541195158378
22,63703,100,100,0,-0.0,30,0.0,0.0
23,49598,100,99,1,0.08079313589591118,3,0.012885549682181835,0.07975207192934514
24,10804,100,96,4,0.24229218908241482,1,0.013639894502855472,0.23898734918446485
25,14968,100,97,3,0.1943918578315762,5,0.018883752339713965,0.19072101013142775
26,58220,100,100,0,-0.0,30,0.0,0.0
27,56715,100,99,1,0.08079313589591118,4,0.007137403776062522,0.08021648266268776
28,54823,100,84,16,0.6343095546405662,2,0.012502761254949271,0.626378933717162
29,36926,100,100,0,-0.0,30,0.0,0.0
30,74753,100,92,8,0.4021791902022728,7,0.008567532713446678,0.39873350683354736
31,66580,100,100,0,-0.0,30,0.0,0.0
32,40553,100,98,2,0.14144054254182067,30,0.007979969165157334,0.1403118513736338
33,55155,100,100,0,-0.0,30,0.0,0.0
34,23652,100,100,0,-0.0,30,0.0,0.0
35,35183,100,73,27,0.8414646362081757,30,0.0069643372272604745,0.8356043927168081
36,32463,100,100,0,-0.0,30,0.0,0.0
37,25318,100,89,11,0.499915958164528,5,0.014667668520848394,0.49258335660188834
38,38099,100,99,1,0.08079313589591118,3,0.006097095575070698,0.08030053242454412
39,37112,100,100,0,-0.0,30,0.0,0.0
40,55924,100,95,5,0.28639695711595625,30,0.003030729701991423,0.2855289653514649
41,9688,100,7,93,0.36592365090022316,30,0.013319389693125452,0.36104977119595183
42,60779,100,100,0,-0.0,30,0.0,0.0
43,33401,100,99,1,0.08079313589591118,4,0.010736374434833931,0.07992571053716824
44,46995,100,94,6,0.32744491915447627,1,0.00456381555102324,0.32595052094033555
45,58818,100,100,0,-0.0,30,0.0,0.0
46,32603,100,98,2,0.14144054254182067,8,0.021496312288291353,0.1384000924691163
47,11984,100,100,0,-0.0,30,0.0,0.0
48,34615,100,100,0,-0.0,30,0.0,0.0
49,47511,100,99,1,0.08079313589591118,30,0.002207912308050096,0.08061475173676061
