window_id,sample_size,seed,n_features,n_rules,status,elapsed_time,solver_time,train_accuracy,train_precision,train_recall,train_f1,val_accuracy,val_precision,val_recall,val_f1,error_message
0,7500,0,30,0,no_solution,1.1610302925109863,0.0,,,,,,,,,
0,7500,1,30,0,no_solution,0.6126804351806641,0.0,,,,,,,,,
0,7500,2,30,0,no_solution,0.6196668148040771,0.0,,,,,,,,,
0,37500,0,30,0,no_solution,0.5046014785766602,0.0,,,,,,,,,
0,37500,1,30,0,no_solution,0.448803186416626,0.0,,,,,,,,,
0,37500,2,30,0,no_solution,0.5636587142944336,0.0,,,,,,,,,
0,75000,0,30,0,no_solution,0.7010502815246582,0.0,,,,,,,,,
0,75000,1,30,0,no_solution,0.7347018718719482,0.0,,,,,,,,,
0,75000,2,30,0,no_solution,0.9004573822021484,0.0,,,,,,,,,
1,7500,0,30,0,no_solution,0.542912483215332,0.0,,,,,,,,,
1,7500,1,30,0,no_solution,0.5847845077514648,0.0,,,,,,,,,
1,7500,2,30,0,no_solution,0.6742737293243408,0.0,,,,,,,,,
1,37500,0,30,0,no_solution,0.6611204147338867,0.0,,,,,,,,,
1,37500,1,30,0,no_solution,0.6490230560302734,0.0,,,,,,,,,
1,37500,2,30,0,no_solution,0.5745151042938232,0.0,,,,,,,,,
1,75000,0,30,0,no_solution,0.5977959632873535,0.0,,,,,,,,,
1,75000,1,30,0,no_solution,0.7384138107299805,0.0,,,,,,,,,
1,75000,2,30,0,no_solution,0.5819520950317383,0.0,,,,,,,,,
2,7500,0,30,0,no_solution,0.33947134017944336,0.0,,,,,,,,,
2,7500,1,30,0,no_solution,0.36705827713012695,0.0,,,,,,,,,
2,7500,2,30,0,no_solution,0.42308521270751953,0.0,,,,,,,,,
2,37500,0,30,0,no_solution,0.6366658210754395,0.0,,,,,,,,,
2,37500,1,30,0,no_solution,0.4861874580383301,0.0,,,,,,,,,
2,37500,2,30,0,no_solution,0.6019899845123291,0.0,,,,,,,,,
2,75000,0,30,0,no_solution,0.6439571380615234,0.0,,,,,,,,,
2,75000,1,30,0,no_solution,0.8394565582275391,0.0,,,,,,,,,
2,75000,2,30,0,no_solution,0.8494179248809814,0.0,,,,,,,,,
3,7500,0,30,0,no_solution,0.5311155319213867,0.0,,,,,,,,,
3,7500,1,30,0,no_solution,0.5503842830657959,0.0,,,,,,,,,
3,7500,2,30,0,no_solution,0.48993468284606934,0.0,,,,,,,,,
3,37500,0,30,0,no_solution,0.6035058498382568,0.0,,,,,,,,,
3,37500,1,30,0,no_solution,0.47676515579223633,0.0,,,,,,,,,
3,37500,2,30,0,no_solution,0.4831087589263916,0.0,,,,,,,,,
3,75000,0,30,0,no_solution,0.6750681400299072,0.0,,,,,,,,,
3,75000,1,30,0,no_solution,0.6363375186920166,0.0,,,,,,,,,
3,75000,2,30,0,no_solution,0.7980349063873291,0.0,,,,,,,,,
4,7500,0,30,0,no_solution,0.3793766498565674,0.0,,,,,,,,,
4,7500,1,30,0,no_solution,0.3786640167236328,0.0,,,,,,,,,
4,7500,2,30,0,no_solution,0.3247368335723877,0.0,,,,,,,,,
4,37500,0,30,0,no_solution,0.4904189109802246,0.0,,,,,,,,,
4,37500,1,30,0,no_solution,0.5854265689849854,0.0,,,,,,,,,
4,37500,2,30,0,no_solution,0.5191488265991211,0.0,,,,,,,,,
4,75000,0,30,0,no_solution,0.8091249465942383,0.0,,,,,,,,,
4,75000,1,30,0,no_solution,0.8451998233795166,0.0,,,,,,,,,
4,75000,2,30,0,no_solution,0.8467750549316406,0.0,,,,,,,,,
5,7500,0,30,0,no_solution,0.6768553256988525,0.0,,,,,,,,,
5,7500,1,30,0,no_solution,0.6217093467712402,0.0,,,,,,,,,
5,7500,2,30,0,no_solution,0.5276026725769043,0.0,,,,,,,,,
5,37500,0,30,0,no_solution,0.5958600044250488,0.0,,,,,,,,,
5,37500,1,30,0,no_solution,0.6669676303863525,0.0,,,,,,,,,
5,37500,2,30,0,no_solution,0.4987294673919678,0.0,,,,,,,,,
5,75000,0,30,0,no_solution,0.6662731170654297,0.0,,,,,,,,,
5,75000,1,30,0,no_solution,0.6269311904907227,0.0,,,,,,,,,
5,75000,2,30,0,no_solution,0.7043716907501221,0.0,,,,,,,,,
6,7500,0,30,0,no_solution,0.4812140464782715,0.0,,,,,,,,,
6,7500,1,30,0,no_solution,0.5135629177093506,0.0,,,,,,,,,
6,7500,2,30,0,no_solution,0.5552849769592285,0.0,,,,,,,,,
6,37500,0,30,0,no_solution,0.5425782203674316,0.0,,,,,,,,,
6,37500,1,30,0,no_solution,0.46805500984191895,0.0,,,,,,,,,
6,37500,2,30,0,no_solution,0.5822021961212158,0.0,,,,,,,,,
6,75000,0,30,0,no_solution,0.560028076171875,0.0,,,,,,,,,
6,75000,1,30,0,no_solution,0.8070449829101562,0.0,,,,,,,,,
6,75000,2,30,0,no_solution,0.842714786529541,0.0,,,,,,,,,
7,7500,0,30,0,no_solution,0.5098741054534912,0.0,,,,,,,,,
7,7500,1,30,0,no_solution,0.4951298236846924,0.0,,,,,,,,,
7,7500,2,30,0,no_solution,0.6759426593780518,0.0,,,,,,,,,
7,37500,0,30,0,no_solution,0.6593883037567139,0.0,,,,,,,,,
7,37500,1,30,0,no_solution,0.5980842113494873,0.0,,,,,,,,,
7,37500,2,30,0,no_solution,0.8328640460968018,0.0,,,,,,,,,
7,75000,0,30,0,no_solution,0.6930203437805176,0.0,,,,,,,,,
7,75000,1,30,0,no_solution,0.621021032333374,0.0,,,,,,,,,
7,75000,2,30,0,no_solution,0.6200089454650879,0.0,,,,,,,,,
8,7500,0,30,0,no_solution,0.323991060256958,0.0,,,,,,,,,
8,7500,1,30,0,no_solution,0.29140305519104004,0.0,,,,,,,,,
8,7500,2,30,0,no_solution,0.36937856674194336,0.0,,,,,,,,,
8,37500,0,30,0,no_solution,0.6487510204315186,0.0,,,,,,,,,
8,37500,1,30,0,no_solution,0.47559499740600586,0.0,,,,,,,,,
8,37500,2,30,0,no_solution,0.5465490818023682,0.0,,,,,,,,,
8,75000,0,30,0,no_solution,0.6558482646942139,0.0,,,,,,,,,
8,75000,1,30,0,no_solution,0.5691301822662354,0.0,,,,,,,,,
8,75000,2,30,0,no_solution,0.8339807987213135,0.0,,,,,,,,,
9,7500,0,30,0,no_solution,0.5746512413024902,0.0,,,,,,,,,
9,7500,1,30,0,no_solution,0.5980987548828125,0.0,,,,,,,,,
9,7500,2,30,0,no_solution,0.4761166572570801,0.0,,,,,,,,,
9,37500,0,30,0,no_solution,0.730701208114624,0.0,,,,,,,,,
9,37500,1,30,0,no_solution,0.4977896213531494,0.0,,,,,,,,,
9,37500,2,30,0,no_solution,0.4702150821685791,0.0,,,,,,,,,
9,75000,0,30,0,no_solution,0.7119061946868896,0.0,,,,,,,,,
9,75000,1,30,0,no_solution,0.6375453472137451,0.0,,,,,,,,,
9,75000,2,30,0,no_solution,0.8217196464538574,0.0,,,,,,,,,
