cluster_id,anchor_index,n_samples,class_0,class_1,mi_mean_all,mi_mean_top30,mi_mean_rest,mi_delta_top30_rest,mi_ratio_top30_all,acc_top30,f1_top30,top30_features
0,55122,30,30,0,0.0,0.0,0.0,0.0,0.0,,,[]
1,29052,30,30,0,0.0,0.0,0.0,0.0,0.0,,,[]
2,38520,30,30,0,0.0,0.0,0.0,0.0,0.0,,,[]
3,40595,30,30,0,0.0,0.0,0.0,0.0,0.0,,,[]
4,13585,30,30,0,0.0,0.0,0.0,0.0,0.0,,,[]
5,44793,30,30,0,0.0,0.0,0.0,0.0,0.0,,,[]
6,45447,30,26,4,0.01979007388727421,0.1873836130421397,0.014606768552587652,0.17277684448955205,9.46856561069409,0.8888888888888888,0.0,"['intent_android.intent.action.MAIN', 'suspicious_getSystemService', 'perm_com.anddoes.launcher.permission.READ_SETTINGS', 'intent_com.getui.gtc.sdk.service.action', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.news', 'intent_com.Remind.launch.app', 'intent_com.google.android.gms.gcm.ACTION_TASK_READY', 'perm_xmpp.permission.ACCESS_API', 'perm_com.huaqin.launcherEx.permission.WRITE_SETTINGS', 'perm_com.sonymobile.home.permission.PROVIDER_INSERT_BADGE', 'intent_com.amir.nightjar.service.CONFIG_SERVICES', 'intent_com.qihoo.appstore.LitePluginDownload', 'intent_com.ss.android.socialbase.downloader.remote', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.wifi', 'perm_android.permission.READ_PHONE_STATE', 'perm_', 'intent_com.qihoo360.daemon.pcdaemon.ACTION_START_SERVICE2', 'perm_com.htc.launcher.permission.WRITE_SETTINGS', 'intent_com.meizu.c2dm.intent.RECEIVE', 'perm_com.yulong2.android.launcher.permission.READ_SETTINGS', 'intent_com.qihoo.appstore.videomini', 'perm_android.permission.VIBRATE', 'intent_com.ez.sj', 'intent_cn.egame.terminal.sdk.SERVICE_CMD', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.jotspot', 'intent_android.intent.action.MEDIA_REMOVED', 'intent_com.qihoo.appstore.checkupdate.INSTALL_ALL_SILENT_TASK', 'intent_com.qihoo.appstore.battery.ACCESSIBILITY_ALERT', 'perm_android.permission.WRITE_MEDIA_STORAGE', 'perm_com.lenovo.launcherhdmarket.permission.READ_SETTINGS']"
7,18604,30,30,0,0.0,0.0,0.0,0.0,0.0,,,[]
8,61536,30,30,0,0.0,0.0,0.0,0.0,0.0,,,[]
9,64093,30,30,0,0.0,0.0,0.0,0.0,0.0,,,[]
10,62151,30,0,30,0.0,0.0,0.0,0.0,0.0,,,[]
11,16963,30,0,30,0.0,0.0,0.0,0.0,0.0,,,[]
12,11461,30,30,0,0.0,0.0,0.0,0.0,0.0,,,[]
13,43693,30,30,0,0.0,0.0,0.0,0.0,0.0,,,[]
14,3807,30,30,0,0.0,0.0,0.0,0.0,0.0,,,[]
15,1332,30,29,1,6.661338147750939e-16,6.661338147750939e-16,6.661338147750939e-16,0.0,1.0,,,"['n_api_calls', 'perm_android.permission.GET_TASKS', 'perm_android.permission.READ_PHONE_STATE', 'perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'n_urls', 'perm_android.permission.SYSTEM_ALERT_WINDOW', 'n_used_permissions', 'perm_com.android.launcher.permission.INSTALL_SHORTCUT', 'perm_android.permission.CHANGE_WIFI_STATE', 'perm_android.permission.SEND_SMS', 'n_permissions', 'suspicious_getSubscriberId', 'intent_android.intent.action.USER_PRESENT', 'perm_android.permission.CHANGE_NETWORK_STATE', 'perm_android.permission.WRITE_SETTINGS', 'perm_android.permission.READ_SMS', 'perm_android.permission.WRITE_SMS', 'suspicious_getSystemService', 'intent_android.net.conn.CONNECTIVITY_CHANGE', 'perm_android.permission.READ_LOGS', 'suspicious_Base64', 'perm_android.permission.RECEIVE_SMS', 'suspicious_Ldalvik/system/PathClassLoader;', 'suspicious_getPackageInfo', 'intent_android.intent.action.PACKAGE_ADDED', 'perm_android.permission.ACCESS_WIFI_STATE', 'intent_com.google.android.c2dm.intent.RECEIVE', 'perm_com.android.launcher.permission.READ_SETTINGS', 'intent_android.intent.action.PACKAGE_REMOVED', 'suspicious_getExternalStorageDirectory']"
