cluster_id,anchor_index,n_samples,class_0,class_1,mi_mean_all,mi_mean_top30,mi_mean_rest,mi_delta_top30_rest,mi_ratio_top30_all,acc_top30,f1_top30,top30_features
10,47424,50,46,4,0.016820994169776497,0.2091625974231274,0.010872284790806885,0.19829031263232053,12.434615654224828,0.9333333333333333,0.0,"['intent_android.net.conn.CONNECTIVITY_CHANGE', 'perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'perm_android.permission.ACCESS_FINE_LOCATION', 'suspicious_getExternalStorageDirectory', 'suspicious_Ldalvik/system/DexClassLoader;', 'suspicious_getSystemService', 'suspicious_Base64', 'perm_android.permission.ACCESS_NETWORK_STATE', 'intent_android.intent.action.MAIN', 'suspicious_getDeviceId', 'suspicious_getPackageInfo', 'perm_android.permission.RECORD_AUDIO', 'perm_android.permission.CHANGE_WIFI_STATE', 'perm_android.permission.WRITE_EXTERNAL_STORAGE', 'perm_android.permission.ACCESS_COARSE_LOCATION', 'perm_android.permission.GET_TASKS', 'intent_android.intent.action.BOOT_COMPLETED', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.print', 'intent_com.qihoo.appstore.download', 'perm_android.permission.CAMERA', 'suspicious_Ljava/lang/Runtime;->exec', 'perm_android.permission.ACCESS_WIFI_STATE', 'intent_android.intent.action.USER_PRESENT', 'intent_com.excelliance.dualaid.b64.action.update.done', 'perm_android.permission.READ_SYNC_SETTINGS', 'perm_android.permission.AUTHENTICATE_ACCOUNTS', 'perm_android.permission.PERSISTENT_ACTIVITY', 'intent_android.intent.action.INPUT_METHOD_CHANGED', 'intent_com.umeng.message.enablecallback.action', 'perm_com.android.launcher2.permission.UNINSTALL_SHORTCUT']"
11,68815,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
12,10722,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
13,23575,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
14,57791,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
15,42205,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
16,63345,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
17,3331,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
18,23823,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
19,1644,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
20,4824,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
21,61946,50,49,1,0.0,0.0,0.0,0.0,0.0,,,"['n_api_calls', 'perm_android.permission.GET_TASKS', 'perm_android.permission.READ_PHONE_STATE', 'perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'n_urls', 'perm_android.permission.SYSTEM_ALERT_WINDOW', 'n_used_permissions', 'perm_com.android.launcher.permission.INSTALL_SHORTCUT', 'perm_android.permission.CHANGE_WIFI_STATE', 'perm_android.permission.SEND_SMS', 'n_permissions', 'suspicious_getSubscriberId', 'intent_android.intent.action.USER_PRESENT', 'perm_android.permission.CHANGE_NETWORK_STATE', 'perm_android.permission.WRITE_SETTINGS', 'perm_android.permission.READ_SMS', 'perm_android.permission.WRITE_SMS', 'suspicious_getSystemService', 'intent_android.net.conn.CONNECTIVITY_CHANGE', 'perm_android.permission.READ_LOGS', 'suspicious_Base64', 'perm_android.permission.RECEIVE_SMS', 'suspicious_Ldalvik/system/PathClassLoader;', 'suspicious_getPackageInfo', 'intent_android.intent.action.PACKAGE_ADDED', 'perm_android.permission.ACCESS_WIFI_STATE', 'intent_com.google.android.c2dm.intent.RECEIVE', 'perm_com.android.launcher.permission.READ_SETTINGS', 'intent_android.intent.action.PACKAGE_REMOVED', 'suspicious_getExternalStorageDirectory']"
22,54044,50,44,6,0.030529545487828384,0.4150331462157986,0.018637681547788068,0.39639546466801057,13.594475108752121,0.8666666666666667,0.0,"['perm_android.permission.VIBRATE', 'perm_android.permission.WRITE_EXTERNAL_STORAGE', 'perm_android.permission.GET_TASKS', 'perm_android.permission.RECORD_AUDIO', 'perm_android.permission.CHANGE_WIFI_STATE', 'intent_android.intent.action.MAIN', 'suspicious_getPackageInfo', 'suspicious_getSubscriberId', 'suspicious_Cipher', 'perm_android.permission.RECEIVE_BOOT_COMPLETED', 'suspicious_getWifiState', 'suspicious_getSystemService', 'suspicious_Base64', 'suspicious_getExternalStorageDirectory', 'perm_android.permission.ACCESS_NETWORK_STATE', 'suspicious_getCellLocation', 'suspicious_Ljava/lang/Runtime;->exec', 'perm_android.permission.ACCESS_WIFI_STATE', 'suspicious_Ldalvik/system/DexClassLoader;', 'intent_android.intent.action.USER_PRESENT', 'intent_android.net.conn.CONNECTIVITY_CHANGE', 'intent_android.intent.action.VIEW', 'perm_android.permission.WRITE_SETTINGS', 'perm_com.android.launcher.permission.INSTALL_SHORTCUT', 'intent_android.intent.action.PACKAGE_ADDED', 'intent_android.intent.action.PACKAGE_REMOVED', 'suspicious_getDeviceId', 'perm_android.permission.READ_PHONE_STATE', 'perm_android.permission.BLUETOOTH', 'perm_android.permission.READ_LOGS']"
23,63284,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
24,71144,50,34,16,0.02513819137632276,0.1852186733389159,0.02018724863521163,0.16503142470370427,7.36801906573797,1.0,1.0,"['suspicious_getSubscriberId', 'intent_android.intent.action.USER_PRESENT', 'intent_action.qihoo360.daemon.pcdaemon.DaemonStatus', 'intent_com.qihoo.appstore.ACTION_CHARGE_START_PLUGIN', 'n_permissions', 'perm_com.smartisanos.launcher.WRITE_DATABASE', 'perm_android.permission.MODIFY_PHONE_STATE', 'intent_com.tencent.android.tpush.action.FEEDBACK', 'intent_com.mobiletool.appstore.action.extend', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.androidsecure', 'perm_android.permission.CALL_PHONE', 'intent_com.baidu.android.pushservice.action.media.CLICK', 'intent_com.sogou.androidtool.service.weatherservice', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.adsense', 'perm_cn.swiftpass.wxpay.permission.MMOAUTH_CALLBACK', 'intent_com.qihoo.appstore.ACTION_STAT', 'perm_com.android.launcher.permission.INSTALL_SHORTCUT', 'perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS', 'perm_com.android.mylauncher.permission.WRITE_SETTINGS', 'n_services', 'intent_android.intent.action.PACKAGE_ADDED', 'perm_android.permission.RAISED_THREAD_PRIORITY', 'perm_android.permission.LOCAL_MAC_ADDRESS', 'intent_android.intent.action.NOTIFICATION_ADD', 'intent_com.huawei.android.push.intent.CLICK', 'intent_android.intent.action.ACTION_SHUTDOWN', 'perm_qiku.permission.RECEIVE_ACTIVITY_RESUMED', 'perm_android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS', 'intent_com.mobiletool.appstore.action.service', 'intent_com.excelliance.appmate.share']"
25,44590,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
26,33456,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
27,27343,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
28,10261,50,39,11,0.021447675495809698,0.15528295862692118,0.017308439935053675,0.1379745186918675,7.240083367414773,1.0,1.0,"['perm_android.permission.READ_PHONE_STATE', 'intent_com.excelliance.dualaid.action.pg', 'perm_android.permission.GET_TASKS', 'perm_com.qihoo360.launcher.permission.WRITE_SETTINGS', 'perm_android.permission.CHANGE_WIFI_STATE', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.adsense', 'intent_com.excelliance.kxqp.NEXT_CHAPTER', 'intent_android.intent.action.MY_PACKAGE_REPLACED', 'intent_com.secneo.plugin.action.DAILY', 'intent_com.excelliance.kxqp.action.swpmain', 'perm_android.permission.MODE_WORLD_READABLE', 'intent_com.areametrics.areametricssdk.AMLocationUpdatesBroadcastReceiver.PROCESS_UPDATES', 'intent_android.intent.action.DATE_CHANGED', 'intent_com.punchbox.service', 'perm_com.htc.launcher.permission.UPDATE_SHORTCUT', 'perm_android.permission.ACCESS_WIFI_STATE', 'perm_com.android.mylauncher.permission.WRITE_SETTINGS', 'intent_com.qihoo.psdk.service.action.remote', 'perm_android.permission.BATTERY_STATS', 'n_api_calls', 'intent_android.intent.action.SCREEN_ON', 'perm_com.actionlauncher.playstore.permission.READ_SETTINGS', 'intent_android.intent.action.ACTION_POWER_CONNECTED', 'perm_android.permission.RECORD_VIDEO', 'intent_com.qihoo.appstore.ACTION_GAME_UNION_WEB', 'intent_android.intent.action.SEND_TO_KPSH', 'intent_android.intent.action.ACTION_POWER_DISCONNECTED', 'perm_com.sonymobile.home.permission.PROVIDER_INSERT_BADGE', 'suspicious_sendTextMessage', 'intent_android.intent.action.ERROR_NOTIFY']"
29,67418,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
30,68064,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
31,41053,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
