intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_GET_ACCOUNTS,n_receivers,perm_android_permission_ACCESS_WIFI_STATE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_ACCESS_FINE_LOCATION,n_api_calls,intent_com_google_android_gms_measurement_UPLOAD,n_services,n_permissions,n_urls,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_android_gms_appinvite_ACTION_PREVIEW,n_providers,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_getSimCountryIso,perm_android_permission_ACCESS_COARSE_LOCATION,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_intent_action_BOOT_COMPLETED,intent_android_intent_action_VIEW,perm_com_android_vending_BILLING,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_android_permission_READ_EXTERNAL_STORAGE,intent_com_google_android_c2dm_intent_REGISTRATION,perm_android_permission_WRITE_CONTACTS,n_activities,perm_com_google_android_googleapps_permission_GOOGLE_AUTH_notebook,perm_com_qiku_launcher_permission_READ_SETTINGS,intent_com_qihoo_appstore_plugin_huajiao_IPluginHelperService,label
0,0,5,1,1,1,6,0,4,8,43,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,12,0,0,0,0
0,0,4,0,1,0,5,0,3,7,44,1,0,2,1,0,0,0,0,0,1,1,0,0,1,0,10,0,0,0,0
0,0,5,1,1,0,7,0,5,7,43,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0
0,0,3,1,1,0,6,0,5,9,42,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,10,0,0,0,0
0,0,3,0,1,0,7,0,4,6,44,1,1,2,1,1,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0
0,0,5,1,1,0,9,1,3,7,43,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,14,0,0,0,0
0,0,3,0,1,0,7,0,4,7,40,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,11,0,0,0,0
0,0,3,1,1,0,7,0,5,9,43,1,1,4,1,0,0,0,0,0,0,1,1,1,0,0,12,0,0,0,0
0,0,7,1,1,0,7,0,5,6,41,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
0,0,3,0,1,0,7,0,7,6,42,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,3,1,1,0,9,0,5,8,43,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,13,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,1
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,2,9,44,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,15,0,0,0,0
