cluster_id,feature,aggregated_score,method_count,rank_mean,rank_std,top_methods,entropy_reduction_ratio,entropy_reduction_ratio_norm,entropy_reduction_ratio_rank,mutual_information,mutual_information_norm,mutual_information_rank,chi2_stat,chi2_stat_norm,chi2_stat_rank,f_stat,f_stat_norm,f_stat_rank,pearson_r,pearson_r_norm,pearson_r_rank
44,suspicious_getSimCountryIso,0.7308629951407049,4,140.7,311.26186724364413,"chi2_stat,entropy_reduction_ratio,f_stat,pearson_r",0.2339574812667016,0.6543149757035245,3.0,0.0,0.0,697.5,24.066174826738198,1.0,1.0,26.519271570507996,1.0,1.0,0.22485370980367478,1.0,1.0
44,perm_android.permission.ACCESS_FINE_LOCATION,0.33219520903084376,3,141.9,310.5946715576428,"chi2_stat,f_stat,pearson_r",0.13209734195316353,0.3694400735664191,6.0,0.0,0.0,697.5,7.16769433807144,0.2978327212228148,2.0,8.285151530218704,0.3124470364190653,2.0,0.1279241921818097,0.6812562139459198,2.0
44,perm_android.permission.ACCESS_COARSE_LOCATION,0.27853058724207197,3,142.9,310.03838472034397,"chi2_stat,f_stat,pearson_r",0.11133632692226313,0.31137720260381613,8.0,0.0,0.0,697.5,5.259486745031593,0.21854269666437207,3.0,6.255005772376864,0.23589644175251434,3.0,0.11137526597210679,0.6268365951896575,3.0
44,suspicious_system/bin/su,0.2342614650354043,3,144.3,309.2676025709774,"chi2_stat,f_stat,pearson_r",0.06566600654776232,0.18364982921775808,12.0,0.0,0.0,697.5,4.845741113346747,0.20135069857312732,4.0,5.132738944365191,0.19357918806420535,4.0,0.10100277342045962,0.5927276093219308,4.0
44,n_api_calls,0.227843441322028,2,342.7,474.1876738170236,"entropy_reduction_ratio,f_stat",0.3575609453461595,1.0,1.0,0.0,0.0,697.5,0.4933437555790369,0.020499466954379392,10.0,3.1473898745857523,0.11871773965576062,5.0,-0.07924482281970126,0.0,1000.0
44,suspicious_getExternalStorageDirectory,0.26419898294522953,1,25.1,24.373140954747708,mutual_information,0.009109235742726516,0.025476036634559582,23.0,0.039066241816954395,0.9669963526009033,3.5,0.009303176351980783,0.0003865664742717938,66.0,0.17149868868155557,0.006505974040426299,23.0,0.0185623836591748,0.32162998497598677,10.0
44,perm_android.permission.ACCESS_NETWORK_STATE,0.2543234005159214,1,42.7,34.945672121165444,mutual_information,0.0013179251275930877,0.0036858754982795642,52.5,0.0397329084836211,0.9834981763004517,2.0,0.0001947166872200952,8.090886425530304e-06,90.0,0.022619375106521032,0.0008921899346819643,54.0,0.006977046065852206,0.28353266995976817,15.0
44,suspicious_getSystemService,0.25212571586970134,1,421.8,237.4462044337622,mutual_information,0.0,0.0,546.0,0.0403995751502878,1.0,1.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,suspicious_getPackageInfo,0.245524986389882,1,422.3,236.33863416716278,mutual_information,0.0,0.0,546.0,0.039066241816954395,0.9669963526009033,3.5,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_android.intent.action.MAIN,0.2389242569100632,1,422.6,235.6741394383355,mutual_information,0.0,0.0,546.0,0.0377329084836211,0.9339927052018093,5.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
